ORDEM DO MêRITO AERONµUTICO;;;;;;;;;;;
;;;;;;;;;;;
INS÷GNIAS - INSTITUIÄÂES;;;;;;;;;;;
;;;;;;;;;;;
(Atualizada atÇ Outubro de 2019);;;;;;;;;;;
;;;;;;;;;;;
NR;SIGLA_ORG;DESCRIÄ«O;INSTITUIC«O;CATEG;DT_INSIG;DT_DOU;REG;;;;
204;EsqdHI-1;Primeiro Esquadr∆o de Helic¢pteros de Instruá∆o;Marinha;Estandarte;;22/10/2014;12479;;;;
205;1¯ ETA;Primeiro Esquadr∆o de Transporte AÇreo;Aeron†utica;Estandarte;23/09/1997;24/09/1997;7125;;;;
206;1¯/10¯ GAV;Primeiro Esquadr∆o do DÇcimo Grupo de Aviaá∆o;Aeron†utica;;23/09/1993;15/10/1993;;;;;
207;1¯/14¯ GAV;Primeiro Esquadr∆o do DÇcimo Quarto Grupo de Aviaá∆o;Aeron†utica;Estandarte;15/09/1982;01/10/1982;3910;;;;
208;1¯/15¯ GAV;Primeiro Esquadr∆o do DÇcimo Quinto Grupo de Aviaá∆o;Aeron†utica;Estandarte;11/09/1996;12/09/1996;7122;;;;
209;1¯/16¯ GAV;Primeiro Esquadr∆o do DÇcimo Sexto Grupo de Aviaá∆o;Aeron†utica;Estandarte;17/10/2002;18/10/2002;8594;;;;
210;1¯/8¯ GAv;Primeiro Esquadr∆o do Oitavo Grupo de Aviaá∆o;Aeron†utica;Estandarte;06/09/2004;08/09/2004;9229;;;;
211;1ß/1ß GCC;Primeiro Esquadr∆o do Primeiro Grupo de Comunicaá∆o e Controle;Aeron†utica;Estandarte;19/12/1950;13/10/2016;13161;;;;
212;1¯/1¯ GT;Primeiro Esquadr∆o do Primeiro Grupo de Transporte;Aeron†utica;Estandarte;16/09/1998;17/09/1998;7568;;;;
213;1¯/4¯ GAV;Primeiro Esquadr∆o do Quarto Grupo de Aviaá∆o;Aeron†utica;Estandarte;07/10/1994;13/10/1994;;;;;
214;1ß/5ß Gav;Primeiro Esquadr∆o do Quinto Grupo de Aviaá∆o;Aeron†utica;Estandarte;05/10/1944;16/10/2018;13508;;;;
215;1ß/2ß GT;Primeiro Esquadr∆o do Segundo Grupo de Transporte;Aeron†utica;;28/09/1999;29/09/1999;7760;;;;
216;1ß/7ß GAv;Primeiro Esquadr∆o do SÇtimo Grupo de Aviaá∆o;Aeron†utica;Estandarte;26/09/2000;27/09/2000;;;;;
217;1¯/6¯ GAV;Primeiro Esquadr∆o do Sexto Grupo de Aviaá∆o;Aeron†utica;Estandarte;05/09/1988;20/09/1988;5438;;;;
218;1ß GAAA;Primeiro Grupo de Artilharia AntiaÇrea;ExÇrcito;Estandarte;26/09/2000;27/09/2000;;;;;
219;1¯ GAC;Primeiro Grupo de Aviaá∆o de Caáa;Aeron†utica;Bandeira;09/10/1956;11/10/1956;400;;;;
220;GAVEMB1;Primeiro Grupo de Aviaá∆o Embarcada;Aeron†utica;Estandarte;15/09/1981;22/09/1981;3805;;;;
221;1ß GCC;Primeiro Grupo de Comunicaá∆o e Controle;Aeron†utica;Estandarte;19/10/2012;22/10/2012;11798;;;;
222;1¯ GDA;Primeiro Grupo de Defesa AÇrea;Aeron†utica;Estandarte;07/10/1994;13/10/1994;;;;;
223;1ß GTT;Primeiro Grupo de Transporte de Tropa;Aeron†utica;Estandarte;22/01/1958;25/09/2019;14266;;;;
224;QGPM-GB;Quartel General da Pol°cia Militar da Guanabara;Pol°cia Militar;Bandeira;19/10/1970;19/10/1970;1993;;;;
225;IV COMAR;Quarto Comando AÇreo Regional;Aeron†utica;;23/09/1993;15/10/1993;;;;;
226;4ß/1ß GCC;Quarto Esquadr∆o do Primeiro Grupo de Comunicaá‰es e Controle;Aeron†utica;Estandarte;29/09/2009;30/09/2009;10649;;;;
227;4ß/7ß GAV;Quarto Esquadr∆o do SÇtimo Grupo de Aviaá∆o;Aeron†utica;Estandarte;30/09/2010;01/10/2010;11068;;;;
228;V FATA;Quinta Foráa AÇrea de Transporte AÇreo;Aeron†utica;Estandarte;20/09/1985;23/09/1985;4718;;;;
229;V COMAR;Quinto Comando AÇreo Regional;Aeron†utica;Estandarte;21/09/1995;22/09/1995;;;;;
230;EsqdHU-5;Quinto Esquadr∆o de Helic¢pteros de Emprego Geral;Marinha;Estandarte;02/10/2017;03/10/2017;13492;;;;
231;5ß ETA;Quinto Esquadr∆o de Transporte AÇreo;Aeron†utica;Estandarte;20/09/2006;21/09/2006;9499;;;;
232;5ß/8ß GAv;Quinto Esquadr∆o do Oitavo Grupo de Aviaá∆o;Aeron†utica;Estandarte;26/09/2000;27/09/2000;;;;;
233;5ß/1ß GCC;Quinto Esquadr∆o do Primeiro Grupo de Comunicaá‰es e Controle;Aeron†utica;Estandarte;21/10/2011;24/10/2011;;;;;
234;5ß GAC Ap;Quinto Grupo de Artilharia de Campanha Autopropulsado;ExÇrcito;Estandarte;04/12/1987;21/10/2015;12832;;;;
235;RSD;Regimento Santos-Dumont;ExÇrcito;Estandarte;12/10/1964;12/10/1964;1271;;;;
236;SECIRM;Secretaria da Comiss∆o Interministerial para Recursos do Mar do CMB;Marinha;Estandarte;21/10/2011;24/10/2011;;;;;
237;SEFA;Secretaria de Economia e Finanáas;Aeron†utica;Bandeira;16/09/1998;17/09/1998;7565;;;;
238;SGM;Secretaria-Geral da Marinha;Marinha;Estandarte;;21/10/2015;12829;;;;
239;;Secretariat of the Air Force;Outros;Estandarte;26/09/2005;27/09/2005;9483;;;;
240;2¶ ELO;Segunda Esquadrilha de Ligaá∆o e Observaá∆o;Aeron†utica;Bandeira;28/09/1999;29/09/1999;7761;;;;
241;II FAE;Segunda Foráa AÇrea;Aeron†utica;Estandarte;28/09/1999;29/09/1999;7762;;;;
242;2ß BAvEx;Segundo Batalh∆o de Aviaá∆o do ExÇrcito;ExÇrcito;Estandarte;25/08/1993;13/10/2016;13160;;;;
243;II COMAR;Segundo Comando AÇreo Regional;Aeron†utica;Estandarte;08/09/1989;22/09/1989;5486;;;;
244;2¯/10¯ GAV;Segundo do DÇcimo Grupo de Aviaá∆o;Aeron†utica;Estandarte;01/09/1987;08/09/1987;5046;;;;
245;2¯/2¯ GT;Segundo do Segundo Grupo de Transporte;Aeron†utica;Estandarte;23/09/1997;24/09/1997;7124;;;;
246;2¯ EF;Segundo Esquadr∆o de Fragatas;Marinha;Bandeira;16/09/1998;17/09/1998;7566;;;;
247;HU-2;Segundo Esquadr∆o de Helic¢pteros de Emprego Geral;Marinha;Estandarte;18/09/1986;13/10/2016;13159;;;;
248;2ß ETA;Segundo Esquadr∆o de Transporte AÇreo;Aeron†utica;Estandarte;21/10/2011;24/10/2011;;;;;
249;2ß/8ß GAV;Segundo Esquadr∆o do Oitavo Grupo de Aviaá∆o;Aeron†utica;Estandarte;25/09/2008;26/09/2008;10014;;;;
250;2ß/1ß GCC;Segundo Esquadr∆o do Primeiro Grupo de Comunicaá‰es e Controle;Aeron†utica;Estandarte;21/10/2011;24/10/2011;;;;;
251;2ß/5ß GAV;Segundo Esquadr∆o do Quinto Grupo de Aviaá∆o;Aeron†utica;Estandarte;24/10/2013;24/10/2013;12109;;;;
252;2¯ RCC;Segundo Regimento de Carros de Combate;ExÇrcito;Bandeira;26/09/2001;27/09/2001;8366;;;;
253;SRPV-SP;Serviáo Regional de Proteá∆o ao Voo de S∆o Paulo;Aeron†utica;Estandarte;27/06/1947;16/10/2018;13506;;;;
254;7ß BEC;SÇtimo Batalh∆o de Engenharia de Combate;ExÇrcito;Estandarte;17/10/2002;18/10/2002;8598;;;;
255;VII COMAR;SÇtimo Comando AÇreo Regional;Aeron†utica;Estandarte;01/10/2003;02/10/2003;8988;;;;
256;7ß DN;SÇtimo Distrito Naval;Marinha;Estandarte;12/09/1990;;5716;;;;
257;7ß/8ß GAV;SÇtimo Esquadr∆o do Oitavo Grupo de Aviaá∆o;Aeron†utica;Estandarte;29/09/2009;30/09/2009;10647;;;;
258;6¶ Div-Ex;Sexta Divis∆o de ExÇrcito - Divis∆o Volunt†rios da P†tria;ExÇrcito;Estandarte;01/09/1987;02/09/1987;5048;;;;
259;VI FAE;Sexta Foráa AÇrea;Aeron†utica;Estandarte;14/10/1992;15/10/1992;6222;;;;
260;6ß BgdIL;Sexto Batalh∆o de Infantaria Leve - Regimento Ipiranga;ExÇrcito;Estandarte;17/10/2002;18/10/2002;8596;;;;
261;VI COMAR;Sexto Comando AÇreo Regional;Aeron†utica;Bandeira;02/10/1978;03/10/1978;3118;;;;
262;SBC;Sociedade Brasileira de Cartografia;Outros;Estandarte;17/10/2002;18/10/2002;8593;;;;
263;STM;Superior Tribunal Militar;Foráas Armadas;Bandeira;16/10/1957;23/10/1957;525;;;;
264;FAE III;Terceira Foráa AÇrea;Aeron†utica;Estandarte;20/09/2006;21/09/2006;9497;;;;
265;3ß B SUP;Terceiro Batalh∆o de Suprimento do ExÇrcito;ExÇrcito;Bandeira;28/09/1999;29/09/1999;7763;;;;
266;III COMAR;Terceiro Comando AÇreo Regional;Aeron†utica;Bandeira;15/09/1981;22/09/1981;3804;;;;
267;EsqdHU-3;Terceiro Esquadr∆o de Helic¢pteros de Emprego Geral;Marinha;Estandarte;31/01/1994;16/10/2018;13507;;;;
268;3¯/10¯ GAV;Terceiro Esquadr∆o do DÇcimo Grupo de Aviaá∆o;Aeron†utica;Estandarte;17/10/2002;18/10/2002;8595;;;;
269;3ß/1ß GCC;Terceiro Esquadr∆o do Primeiro Grupo de Comunicaá‰es e Controle;Aeron†utica;Estandarte;30/09/2010;01/10/2010;11069;;;;
270;3¯ GAAAê;Terceiro Grupo de Artilharia AntiaÇrea;ExÇrcito;Estandarte;23/09/1993;15/10/1993;;;;;
271;3¯ ROb 105-Ex;"Terceiro Regimento de Obuses 105 ""Regimento Mallet";ExÇrcito;Bandeira;25/10/1966;26/10/1966;1474;;;;
272;TCB;Touring Club do Brasil;Outros;Estandarte;28/09/1999;29/09/1999;7764;;;;
273;32¯ GAC;TrigÇsimo Segundo Grupo de Artilharia de Campanha - Bateria Caiena;ExÇrcito;Estandarte;06/09/2004;08/09/2004;9230;;;;
274;UNIFA;Universidade da Foráa AÇrea;Aeron†utica;Estandarte;26/09/2001;27/09/2001;;;;;
275;20¯ GACL;VigÇsimo Grupo de Artilharia de Campanha Leve - Grupo Bandeirante;ExÇrcito;Estandarte;20/09/2006;21/09/2006;9502;;;;
276;29¯ GAC-Ex;VigÇsimo Nono Grupo de Artilharia de Campanha - Grupo Humait†;ExÇrcito;Bandeira;05/10/1977;13/10/1977;;;;;
277;21¯ GAC;VigÇsimo Primeiro Grupo de Artilharia de Campanha - Grupo Monte Bastione;ExÇrcito;Estandarte;20/09/2006;21/09/2006;9503;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
