ORDEM DO MêRITO AERONµUTICO;;;;;;;;;;;
;;;;;;;;;;;
INS÷GNIAS - INSTITUIÄÂES;;;;;;;;;;;
;;;;;;;;;;;
(Atualizada atÇ Outubro de 2019);;;;;;;;;;;
;;;;;;;;;;;
NR;SIGLA_ORG;DESCRIÄ«O;INSTITUIC«O;CATEG;DT_INSIG;DT_DOU;REG;;;;
50;PISA;Cidade de Pisa;Rep£blica Italiana;Bandeira;11/09/1996;12/09/1996;7116;;;;
51;CID;ColÇgio Interamericano de Defesa;Exterior;Estandarte;02/10/2017;03/10/2017;13488;;;;
52;CMAv-BO;ColÇgio Militar de Aviaá∆o da Foráa AÇrea Boliviana;Foráa AÇ. Boliviana;Estandarte;08/06/1973;11/06/1973;2214;;;;
53;CMB;ColÇgio Militar de Bras°lia;ExÇrcito;Estandarte;07/10/1994;13/10/1994;;;;;
54;CMFZ;ColÇgio Militar de Fortaleza;ExÇrcito;Estandarte;13/10/1969;23/10/1969;1890;;;;
55;CMPA;ColÇgio Militar de Porto Alegre;ExÇrcito;Estandarte;09/10/1972;10/10/1972;2207;;;;
56;CMRJ;ColÇgio Militar do Rio de Janeiro;ExÇrcito;Estandarte;14/10/1958;20/10/1958;584;;;;
57;COMAT;Comando Aerot†tico;Aeron†utica;Bandeira;15/09/1982;01/10/1982;3908;;;;
58;MAER;Comando da Aeron†utica;Aeron†utica;Estandarte;11/09/1996;12/09/1996;7119;;;;
59;CFAe-Mar;Comando da Foráa Aeronaval;Marinha;Estandarte;20/09/1985;23/09/1985;4721;;;;
60;CMDO F. CT;Comando da Foráa de Contra-Torpedeiros;Marinha;Estandarte;14/10/1992;15/10/1992;6265;;;;
61;COMDO FRAG;Comando da Foráa de Fragatas;Marinha;Estandarte;21/09/1995;22/09/1995;;;;;
62;COMFFE;Comando da Foráa de Fuzileiros da Esquadra;Marinha;Estandarte;19/10/2012;22/10/2012;11795;;;;
63;COMDABRA;Comando de Defesa Aeroespacial Brasileiro;Aeron†utica;Estandarte;26/09/2001;27/09/2001;8363;;;;
64;COM;Comando de Operaá‰es Navais;Marinha;Estandarte;26/09/2000;27/09/2000;;;;;
65;COTer;Comando de Operaá‰es Terrestres;ExÇrcito;Estandarte;06/09/2004;08/09/2004;9231;;;;
66;1¯ DN-CMD;Comando do Primeiro Distrito Naval;Marinha;Estandarte;04/10/2007;05/10/2007;10002;;;;
67;COM4DN;Comando do Quarto Distrito Naval;Marinha;Estandarte;19/11/1945;16/10/2018;13503;;;;
68;COMTA;Comando do Transporte AÇreo;Aeron†utica;Bandeira;09/10/1956;11/10/1956;399;;;;
69;CMA;Comando Militar da Amazìnia;ExÇrcito;Estandarte;07/10/1994;13/10/1994;;;;;
70;CML;Comando Militar do Leste;ExÇrcito;Estandarte;29/09/2009;30/09/2009;10645;;;;
71;CMNE ;Comando Militar do Nordeste;ExÇrcito;Estandarte;21/09/1995;22/09/1995;;;;;
72;CMN;Comando Militar do Norte;ExÇrcito;Estandarte;26/06/2013;21/09/2019;14264;;;;
73;CMO;Comando Militar do Oeste;ExÇrcito;Estandarte;19/10/2012;22/10/2012;11796;;;;
74;CMP;Comando Militar do Planalto;ExÇrcito;Bandeira;12/09/1990;11/10/1990;5815;;;;
75;CMSE;Comando Militar do Sudeste;ExÇrcito;Estandarte;24/07/1946;16/10/2018;13502;;;;
76;CMS;Comando Militar do Sul ;ExÇrcito;Estandarte;25/09/2008;26/09/2008;10013;;;;
77;CNB;Comando Naval de Bras°lia;Marinha;Estandarte;12/09/1990;11/10/1990;;;;;
78;CCEsq-Mar;Comando-em-Chefe da Esquadra;Marinha;Estandarte;01/09/1987;02/09/1987;5047;;;;
79;CGPM-SP;Comando-Geral da Pol°cia Militar do Estado de S∆o Paulo;Pol°cia Militar;Estandarte;;22/10/2014;12481;;;;
80;COMGAP;Comando-Geral de Apoio;Aeron†utica;Estandarte;16/09/1998;17/09/1998;7567;;;;
81;COMGAR;Comando-Geral do Ar;Aeron†utica;Estandarte;20/09/1984;25/09/1984;4470;;;;
82;COMGEP;Comando-Geral do Pessoal;Aeron†utica;Estandarte;23/09/1993;15/10/1993;;;;;
83;CABW;Comiss∆o Aeron†utica Brasileira em Washington;Aeron†utica;Estandarte;29/09/2009;30/09/2009;10646;;;;
84;CABE;Comiss∆o Aeron†utica Brasileira na Europa;Aeron†utica;Estandarte;30/09/2010;01/10/2010;11067;;;;
85;COPAC;Comiss∆o Coordenadora do Programa Aeronave de Combate;Aeron†utica;Estandarte;19/10/2012;22/10/2012;11797;;;;
86;COMARA;Comiss∆o de Aeroportos da Regi∆o Amazìnica;Aeron†utica;Estandarte;17/10/2002;18/10/2002;8590;;;;
87;CDA;Comiss∆o de Desportos da Aeron†utica;Aeron†utica;Estandarte;02/10/2017;03/10/2017;13489;;;;
88;CISCEA;Comiss∆o de Implantaá∆o do Sistema de Controle do Espaáo AÇreo;Aeron†utica;Estandarte;02/10/2017;03/10/2017;13487;;;;
89;CPO;Comiss∆o de Promoá‰es de Oficiais;Aeron†utica;Estandarte;17/10/2002;18/10/2002;8591;;;;
90;COJAER;Consultoria Jur°dica do MinistÇrio da Aeron†utica;Aeron†utica;Estandarte;23/09/1997;24/09/1997;7123;;;;
91;CBRJ;Corpo de Bombeiros do Distrito Federal (RJ);Bombeiros;Bandeira;09/10/1956;11/10/1956;397;;;;
92;CBM-MT;Corpo de Bombeiros Militar (MT);CBM;Estandarte;04/10/2007;05/10/2007;10005;;;;
93;CBMPM-SP;Corpo de Bombeiros Militar da PM (SP);CBM;Estandarte;04/10/2007;05/10/2007;10004;;;;
94;CBM-DF;Corpo de Bombeiros Militar do Distrito Federal (BR);Bombeiros;Estandarte;01/09/1987;02/09/1987;5173;;;;
95;CFN;Corpo de Fuzileiros Navais;Marinha;Bandeira;11/10/1962;12/10/1962;901;;;;
96;10¶ CiaECmb;DÇcima Companhia de Engenharia de Combate;ExÇrcito;Estandarte;01/10/2003;02/10/2003;8985;;;;
97;12¶ Bda Inf (AMV);DÇcima Segunda Brigada de Infantaria Leve (Aerom¢vel);ExÇrcito;Estandarte;26/09/2005;27/09/2005;9482;;;;
98;19¯ BC;DÇcimo Nono Batalh∆o de Caáadores;ExÇrcito;Estandarte;17/10/2002;18/10/2002;8597;;;;
99;11ß GAAAe;DÇcimo Primeiro Grupo de Artilharia AntiaÇrea;ExÇrcito;Estandarte;16/09/1998;17/09/1998;7569;;;;
