Posto/Quadro/Qualificação; Nome;Nº Portaria;Data Portaria
SO QSS BET;Abcélvio Rodrigues;;35228
Doutor;Abdala Fábio Couri;;24114
Gen Ex;Abdias da Costa Ramos;;32659
SO QSS BMA;Abdias dos Santos Silva;271/SC;40682
1S QSS BSP;Abdias Francisco de Lima Filho;;32659
Jornalista;Abdias Silva;;29388
Gen Div;Abdon Sena;;23937
Doutor;Abeguar Machado Massera;;33758
Doutor;Abel Azevedo Caminha;;20839
Maj Esp CTA;Abel Braga Ribeiro;;29388
SO QSS STP;Abel Camilo Soares;649/SCGC;43230
Ten Cel Ex;Abel da Rocha Catuta;;31215
Maj QOAV;Abel de Castro Laudares;728/SCGC;43598
Cel Ex;Abel Machado;;31580
Senhor;Abel Mesquita Zambom;721/SCGC;29/05/2015
SO QSS SAD;Abel Rodrigues;;25015
Professor;Abel Rosato;;33758
Senhor;Abel Silveira Gomes;341/SC;40323
Doutor;Abelard França;;20836
Professor;Abelardo Arruda de Brito;;22635
Doutor;Abelardo Coimbra Bueno;;31945
SO QSS BMB;Abelardo de Lucena Dias;877/SCGC;41789
Professor;Abelardo F. Montenegro;;22700
Deputado Federal ;Abelardo Luiz Lupion Mello;968/SC;41428
General-de-Brigada;Abelardo Prisco de Souza Júnior;667/SC;38160
Maj Esp CTA;Aberaldo Luiz Rafs Machado;;31945
Civil;Abibe Ferreira Júnior;461/SC;39958
SO QSS BMA;Abílio Carvalho Pereira;;28671
SO QSS SGS;Abílio Corrêa de Souza;;25764
Senhor;Abílio da Silva;;34516
Senhor;Abílio de Almeida;;25399
Senhor;Abílio do Nascimento;;21164
Doutor;Abílio Machado Filho;;25395
Ten Cel Eng;Abílio Neves Garcia;341/SC;40323
Senhor;Abílio Ribeiro de Oliveira;400/SCC;35593
Ten Cel Ex;Abílio Salles Dória;;27204
Senhor;Abimar Sarmet Moreira;;26430
Suboficial (FN-IF);Abismael Gonçalves da Silva;423/SC;39610
Doutor;Abner Brígido Costa;;22635
1S QSS SGS;Abner da Silva Ribeiro;341/SC;40323
Coronel-de-Engenharia;Abner Gonçalves de Magalhães;271/SC;40682
Cel Eng;Abner Maciel de Castro;;29011
Cel Av;Abner Medeiros Correia;;31945
Cel Av;Abnner Nascimento Alves;410/SC;37033
SO QSS BMT;Abnorah Ferreira Paz Nunes Machado;;27204
Maj Méd;Abraham Abitbol;;27941
Cel Ex;Abraham Aharoni;;29424
2S QSS BMA;Abrahão Becker Pereira;;27204
SO QSS BEV;Abrahão Nascimento dos Santos;400/SCC;35593
1º Ten Adm;Abrahão Redig;;23937
SO QSS SAD;Acácio Alves Dutra;461/SC;39958
Senhor;Acácio Carlos Vieira;;29388
Cap Esp Met;Acácio Dória;;26115
SO QSS SAD;Acácio Ferreira de Carvalho;;26281
1S QSS SAD;Acácio Gonçalves de Freitas;;32295
Empresário;Acacio Rosa de Queiroz Filho;565/SCGC;42513
Senhor;Achiles Garcia Charles Astor;;21364
Vereador;Achiles Mendes;;33758
2S QSS BCO;Achiles Vieira da Gama Filho;;22635
Ministro Conselheiro;Achilles Emilio Zaluar Neto;341/SC;40323
1S QTA R/R;Acidezio Paulino Valentim;271/SC;40682
Maj Int;Acindino Simões da Fonseca;;27204
Ten Cel Méd;Acir Júlio Mangoni;;31215
Senhor;Acir Luiz de Almeida Padilha;;28306
1S QSS BMA;Ackison de Aquino e Silva;;28671
SO QSS SDE;Acólito Costa Silva;;30483
Gen Bda;Acrísio Figueira;;31580
CB QCB SEM;Acyr Alexandrino da Silva;;22635
Doutor;Acyr Costa Araújo;;29388
Cel Int;Acyr Martins Barbosa;;28306
3S QSS BMA;Acyr Passos;;26115
SO QSS SDE;Acyr Passos Filho;423/SC;39610
Engenheiro;Acyr Pitanga Seixas Filho;;34516
Senhora;Ada Rogato;;20828
Maj Eng;Adacir da Silva Ferreira;;30118
Maj Ex;Adacto Arthur Pereira de Mello;;25045
Ten Cel Esp Met;Adahil Francisco Gusmão;327/SCC;36665
Cap QOEA GDS;Adahilton Américo de Oliveira;388/SC;39248
Deputado;Adail Barreto;;23209
Senhor;Adail Carvalho Sandoval;;31215
Cel Av;Adail Coaracy de Aquino;;27575
Advogada;Adailma Medeiros;;34516
1S QSS SAD;Adaílson dos Santos;;30118
SO QSS BSP;Adaílton Batista da Paz;;33758
Cel Ex;Adaílton Sampaio Pirassinunga;;20836
Ten Cel Dent;Adair Batista Machado;327/SCC;36665
SO QSS SAD;Adair dos Santos Nazareth;;33024
SO QSS SGS;Adair Evangelista;;33758
Cel Av;Adair Geraldo Ribeiro;;26476
Ten Cel Ex;Adair Luiz Pereira;;34131
Senhor;Adair Ribeiro;;33389
2S QTA TAR;Adair Xavier Dias Filho;667/SC;38160
SO QSS BMB;Adair Zanon Denardin;408/SCC;35969
Senhor;Adalardo Pieruccetti Veloso;;30118
SO Mar;Adalberon Corrêa de Sena;;29424
Ten Cel Av;Adalbert Tayeiro Endo;;26843
Cel Int;Adalberto Alves Pedroza;408/SCC;35969
Senhor;Adalberto Andrade de Lucas;;25489
SO QSS BMB;Adalberto Andrade Leal;;32295
Comandante;Adalberto Araújo Silva;;30848
Senhor;Adalberto Baptista da Cruz;;33389
SO (FN-CN);Adalberto Blanco Gonçalves;341/SC;40323
SO QSS BMA ;Adalberto Bruzzio Martins Neto;798/SCGC;42886
Senhor;Adalberto Calçada da Rocha;;23013
Comandante (Rio Sul);Adalberto Cambauva Bogsan;410/SC;37033
1S (Ex);Adalberto da Silva Cruz Filho;;24714
Alte Esq;Adalberto de Barros Nunes;;26115
Gen Bda;Adalberto de Moura Campos;;33758
Maj Brig Ar Ref;Adalberto de Rezende Rocha;;27575
Maj Av;Adalberto de Rezende Rocha Junior;649/SCGC;43230
SO QSS BMA;Adalberto Fernandes;877/SCGC;41789
Doutor;Adalberto Ferreira do Valle;;21205
Cel Ex;Adalberto Fialho;;20839
Cel Av;Adalberto Fontoura Gomes;667/SC;38160
Senhor;Adalberto Gimenez de Oliveira;;26843
Cel Ex;Adalberto Gomes Macedo;;26843
Gen Div;Adalberto Imbrósio;410/SC;37033
Ten Cel Ex;Adalberto João Soares Pagani;;26476
2º Ten Esp Arm;Adalberto José Espírito Santo;;23209
Comandante;Adalberto Kovacs Nogueira;;29388
Maj Esp Com;Adalberto Mendonça Ferreira;;34844
Cap Esp Com;Adalberto Nunes Pires;;30483
1º Ten (Ex);Adalberto Penteado Duarte;;24299
Cel Inf;Adalberto Pereira da Silva Lima;;27204
Gen Ex;Adalberto Pereira dos Santos;;27204
Maj Av;Adalberto Sanchez Y Sanches;877/SCGC;41789
Maj Av ;Adalberto Santos Prado;968/SC;41428
Doutor;Adalberto Spagnuolo;;29753
Senhor;Adalberto Teles de Menezes;;21931
Cel Int;Adalberto Tramujas;;23750
Cel Ex;Adalberto Villas Boas;;24299
Cel Av;Adalberto Zavaroni;408/SC;37399
SO QSS SMU;Adalgiso Cirilo Dos Reis Junior;566/SCGC;43969
2S QSS SOB;Adalino Rócio de Castro Pinto;;24670
Gen Div;Adalmir Manoel Domingos;721/SCGC;29/05/2015
Ministro;Adalnio Senna Ganem;653/SC;37117
SO QSS SAD;Adalto de Oliveira Dias;721/SCGC;29/05/2015
Cel Av;Adalto Ferreira da Silva;;28671
Maj Esp Arm;Adalto Quintanilha;;31215
Cap Esp Av;Adalto Rodrigues Gomes dos Santos;;31580
Maj Esp Arm;Adalton Santos de Oliveira;271/SC;40682
Cel Av;Adamastor Augusto dos Santos;;30483
Maj Brig Ar;Adamastor Beltrão Cantalice;;22726
Ten Cel Av;Adamir Basílio;;26115
Assessor;Adamor da Conceição Maciel;;35228
1S QSS SAD;Adamor Santana de Paula;877/SCGC;41789
1º Ten ADM (EB);Adão Ailton da Rosa Silva;423/SC;39610
Cel Int R/1;Adão Airton da Rosa Silva;;33024
TM QTA TAR;Adão Alves Cardoso;;34131
SO QSS BMT;Adão Alvim Pereira;;31945
Policial Rodoviário;Adão Antônio Bertaco;667/SC;38160
Cap Inf;Adão Braun;;29753
2º Ten QOEA;Adão da Silva Britto;;29388
SO QSS SAD;Adão Gâmba;;32659
CB QCB BMA;Adão Gonçalves dos Santos;;26721
Cel Int;Adão Henrique Patines Pedroso;410/SC;37033
Cel (Ex);Adão Laureano Dios Xavier;;32659
Cap Adm;Adão Lopes Pacheco;;26281
Procurador da União;Adão Paes da Silva;410/SC;37033
SO QSS SAD;Adão Reis de Magalhães;;34516
SO QSS SMU;Adão Rodrigues Viana;565/SCGC;42513
Senhor;Adão Silveira da Silva;;31580
Ten Cel Ex (Méd);Adauri Mendes Nunes;;35228
Gen Div;Adauto Bezerra de Araújo;;23025
Brig Int;Adauto Bezerra de Araújo;;20828
Ten Cel Av;Adauto Bisbocce Brollo;;29011
CMG ;Adauto Braz da Silva Junior;968/SC;41428
SO QSS SAD ;Adauto de Freitas Moreira;968/SC;41428
Maj Esp Com;Adauto de Souza Bringel;461/SC;39958
Cel PM;Adauto Fernandes de Andrade;;24114
1º Ten Esp Com;Adauto Gouveia Motta;;30483
Ten Cel Esp Com;Adauto Pereira da Silva;;32659
Senhor;Adauto Rocchetto;596/SC;38875
SO QSS BEI;Adauto Tesser;327/SCC;36665
Maj Esp Av;Adayr Cabral;;30118
Cel Méd;Adayr de Oliveira;388/SC;39248
Doutor;Adayr Eiras de Araújo;;31945
Cel Av;Addi Ivan Ferreira da Silva;;31580
Cel Farm;Addison Scarton Coutinho;;30848
1S QSS BET;Addson Pereira Anastacio;566/SCGC;43969
3S QESA SGS R/1 ;Adedi Paulo dos Santos;798/SCGC;42886
Cel Av Ref;Adeéle Migon;;22635
3S QESA SAD;Adeigi Abadio Pereira;461/SC;39958
Cel Int;Adeilson Tenório da Costa;;30848
3S QESA SOB ;Adeilto Rodrigues Nogueira;798/SCGC;42886
Cap QOEA CTA R/1;Adejalmo Zucheto;423/SC;39610
Ten Cel Ex;Adel Alves Cardozo;;26115
Cel Eng;Adel Saraiva Peña;;31945
Maj Med;Adelaide Flávio Sena;565/SCGC;42513
Ten Cel Av;Adelar Lino Ribeiro;;32659
Economista;Adélia Maria Leão Menescal;;34516
Senhor;Adelino Álvaro de Moraes;;33389
SO QSS BET;Adelino Auto de Jesus;461/SC;39958
Cel Av;Adelino de Loureiro Gil;;27941
Engenheiro;Adelino Gomes Cardoso;;34131
Senhor;Adelino Gonçalves;;31945
SO QSS SAD;Adelino Mota Pereira;;33389
Maj Brig Ar;Adélio Del Tedesco;;20828
SO QSS SEL;Adelmar Fonseca da Silva;327/SCC;36665
Senhor;Adelmar Soares da Rocha Filho;;23390
Maj Méd;Adelmo de Oliveira;;23390
SO QSS SAD;Adelôncio Corrêa de Camargo;;29011
ST  Inf;Adelpe Henrique de Araújo;262/SC;41058
3S QSS STA;Adélson Fernandes de Souza;;30118
SO QSS BMA;Adelson Francisco Salles;423/SC;39610
Ten Cel Ex;Adélson Leite Julião;;30483
Maj Av;Adelson Nogueira da Mota;341/SC;40323
Gen Bda;Adelson Robbi;566/SCGC;43969
1º Ten QOEA SVM R/1 ;Adelson Silva Nascimento;968/SC;41428
Cap QOEA SVA;Adelzon Antonio da Silva;728/SCGC;43598
2º Ten QOEA SVA;Ademar Aparecido Bueno da Silva;461/SC;39958
Cel (Ex);Ademar Barros Moura;;35228
1º Ten QOEA;Ademar João da Silva;;30118
Cel Av Ref;Ademar Marinho Galvão Filho;;31580
SO QSS SAD;Ademésio Loio da Silva;408/SC;37399
1º Ten QOEA CTA;Ademilson Alves de Luna Júnior;721/SCGC;29/05/2015
Primeiro-Tenente PM (MS);Ademilson Cristaldo Barbosa;687/SC;38525
SO QSS SAD ;Ademilson Nicolino Moreira;968/SC;41428
Cel Av R/1;Ademilton Tenório de Albuquerque;410/SC;37033
SO QSS SEL;Ademir Afonso de Oliveira;370/SCC;36307
1S QSS BCO ;Ademir Barros de Carvalho;798/SCGC;42886
Cap Esp Aer COM;Ademir Bonfim dos Santos;565/SCGC;42513
Cel Eng;Ademir Brito Amaral;;31945
SO QSS SOB;Ademir Cipriano Dias;596/SC;38875
SO QSS SAD;Ademir da Silva Ribeiro;;31215
SO QSS BMB;Ademir de Campos Mello;408/SCC;35969
1S QSS SAD;Ademir Evangelista de Farias;877/SCGC;41789
SO QSS SGS;Ademir Faustino Alvarenga;327/SCC;36665
SO QSS SAD;Ademir Ferreira da Silva;;31580
Ten Cel Esp CTA;Ademir Freitas;;33758
Ten Cel Av;Ademir Marques dos Santos;;31580
Cel Av;Ademir Massuia;;33389
1S QSS SAD ;Ademir Máximo da Silva;968/SC;41428
SO QSS BSP;Ademir Rodrigues Quintão;;34131
Vice-Almirante;Ademir Sobrinho;341/SC;40323
SO QSS BMA;Ademir Vieira de Azevedo;400/SCC;35593
SO QSS BET;Adenauer de Lima Correa;410/SC;37033
Maj Av;Adenauer de Oliveira Goncalves;877/SCGC;41789
Doutor;Adenauher Figueira Nunes;;32295
Cap Esp Fot;Adenilson Farias Zanini;565/SCGC;42513
Maj Esp Av;Adenir Diniz Costa;;30848
Maj Brig Ar R/1;Adenir Siqueira Viana;;29011
Maj QOAV;Adenirson Levy Santos da Cruz;728/SCGC;43598
SO QSS SOB;Adenor Salles dos Santos;;23209
3S QESA SAD;Adeonas Pereira de Carvalho;;34844
S Ten Inf;Aderbal Cardoso;649/SCGC;43230
Doutor;Aderbal Costa;;24435
Senhor;Aderbal Soares;;34844
Ten Cel (QMB) Ex;Aderico Visconte Pardi Mattioli;408/SCC;35969
Senhor;Aderito de Assunção de Almeida Gordo;;33024
Cel Inf;Aderson Borges Vieira;;30483
Cel QOBM;Aderson José Barbosa;721/SCGC;29/05/2015
SO QSS SGS;Aderson Toledo Santos;410/SC;37033
Cel Med;Adevaldo de Oliveira Fortes;;26115
3S QSS SAD;Adevaldo Soares de Souza;;28306
Cel Av R/1;Adézio Celso Carvalho da Fonseca;687/SC;38525
Ten Cel Av;Adhemar Alvarez de Oliveira;;28671
Comandante;Adhemar Amaral de Almeida;;31945
Cap Adm;Adhemar Corrêa do Couto;;27941
Gen Ex;Adhemar da Costa Machado;;25395
Gen Bda;Adhemar da Costa Machado Filho;;33758
Sd PM (RJ);Adhemar da Silva Braga Filho;;25758
Doutor;Adhemar de Barros Filho;;27204
1S QSS BMA;Adhemar Fernandes de Almeida;;20839
Ministro;Adhemar Gabriel Bahadian;;32659
CMG;Adhemar Garcia de Paiva Filho;;31945
Senhor;Adhemar Langanke;;30483
Brig Ar;Adhemar Lyrio;;23750
Defensor Público da União;Adhemar Marcondes de Moura;531/SC;37782
Doutor;Adhemar Paladini Ghisi;;29388
Cap Av;Adhemar Prego;;20953
Cel Ex;Adhemar Rivermar de Almeida;;30483
Coronel R/1 (Ex);Adherbal Júnior Vicentini Jotta;;30848
Maj QOEAv;Adherbal Treidler de Oliveira;877/SCGC;41789
CMG;Adhyr Veloso de Albuquerque;;20836
Vereador;Adi João Forgiarini;;34516
Senhor;Adib Elias;728/SCGC;43598
Embaixador;Adib Nahas;;20772
3S QSS BMA;Adiel Ribeiro da Silva;;21205
SO QSS BEI;Adil Baptista da Silva;408/SC;37399
Cel Int;Adílio Martins de Moura Filho;388/SC;39248
Cel Cav ;Adilson Akira Torigoe;798/SCGC;42886
1º Ten QAO (EB);Adilson Alves Verdam;341/SC;40323
2º Ten QOEA SVA;Adilson Antonio de Araujo Junior;721/SCGC;29/05/2015
SO QSS SGS;Adilson Arcebispo de Florença;;34844
SO QSS BMA;Adilson Barbosa Bertholino;341/SC;40323
Capitão-de-Corveta (T);Adilson Brito de Oliveira;687/SC;38525
Doutor;Adílson Bueno de Godói;;31580
Cel Int;Adilson Campelo Costa;;31580
Maj Esp Met;Adilson Cleomenes Rocha;461/SC;39958
Cap QOEA;Adilson Constantino de Oliveira;271/SC;40682
SO QSS BMA;Adilson Corrêa Siqueira;877/SCGC;41789
Maj Esp Com;Adilson da Silva;423/SC;39610
Cel Av;Adilson da Silva Lemos Júnior;423/SC;39610
3S QESA SAD R/1 ;Adilson de Araújo Fonseca;798/SCGC;42886
SO QSS SDE;Adílson de Oliveira Cordeiro;;33389
Senhor;Adilson de Siqueira Inácio;667/SC;38160
Cap QOEA;Adilson de Souza;;34516
SO QSS SEL;Adílson do Nascimento;327/SCC;36665
Cap QOEA GDS R/1;Adilson Domingos;461/SC;39958
S Ten TOPO;Adilson dos Reis;728/SCGC;43598
Maj Av;Adílson dos Santos Boyd;;26843
Cap QOEA CTA;Adilson Drumond Bowen;649/SCGC;43230
2S QTA TAR;Adilson Ferreira da Silva;271/SC;40682
Cap Esp Sup Téc;Adílson Ferreira Netto;;29753
Ten Cel Av;Adilson França de Carvalho;;32295
SO QSS BEP;Adílson Francisco do Amaral;;34131
Ten Cel Esp Fot;Adílson Gomes Marçal;;31580
SO QSS BCT;Adílson José Kassab Falcão;;30118
SO QSS SEM;Adilson José Zanola;388/SC;39248
Ten Cel Esp Met;Adílson Júlio Lonni;;32295
SO QSS BCO;Adilson Lopes de Faria;388/SC;39248
Ten Cel QOECom ;Adilson Luiz Barbosa;968/SC;41428
Cap QOEA;Adilson Mariz de Moraes;531/SC;37782
Cel Av;Adílson Marques da Cunha;;29388
SO QSS BEI;Adilson Milholi da Silva;410/SC;37033
SO QSS BMA;Adílson Nunes da Costa;;32295
SO QSS BMA;Adilson Paixão Neves;370/SCC;36307
SO QSS SMU;Adilson Pastor da Silva;721/SCGC;29/05/2015
Maj Av;Adílson Pena de Moraes;;33024
Ten Cel Int;Adilson Pereira de Oliveira;;31945
Doutor;Adílson Pintos Cabeços;;33024
Maj Dent;Adilson Rodrigues do Nascimento;565/SCGC;42513
SO QSS BMA;Adílson Rossi;;34844
Cel Int;Adílson Silva Araújo;;30483
SO QSS SAD;Adilson Takeshi Yasumura;400/SCC;35593
SO QSS SAD;Adílson Tocachelo;;33389
Senhor;Adilson Vargas Alves;;30483
Senhor;Adilson Vieira;271/SC;40682
V Alte;Adilson Vieira de Sá;;33024
Cel Av;Adílton Ferreira Campos;;31580
Cap Av;Adinor Franco;;21205
SO QSS SAD;Adiodato José dos Reis;;26476
Ten Cel Esp Met;Adir Amaral Filho;;32659
1S QSS SOB;Adir Benedito Borges Ribas;;30483
Maj Esp Av;Adir Bubeniak Azevedo;;30848
CB PM (RJ);Adjalma de Andrade;;25758
Ten Cel Esp Com;Adjame Oliveira;;31945
Cel Av;Adjanir Matthiesen Queiroz;;29753
Ten Cel Esp Com;Adjar Pereira de Souza;;30848
Cel Capl Ref;Admar dos Santos Silva;461/SC;39958
SO QSS BCO;Admilson Roberto Zampieri dos Santos;271/SC;40682
Cel Int;Adnir Abílio Joaquim Araújo;;29753
V Alte (IM);Adolf Magnus Moniz Ostwald;370/SCC;36307
Senhor;Adolfino de Jesus Mianovichi;;29753
Ten Cel Av;Adolfo Aleixo da Silva Júnior;423/SC;39610
Cel (Ex);Adolfo Borges;;25758
Maj Ex;Adolfo Brubsky;;20836
CMG;Adolfo Fernandez Loaysa Y. Casola;;30652
SO QSS BMA;Adolfo Ferreira Leal;;32659
Maj Esp Av;Adolfo Francisco Gomes;531/SC;37782
Cel Av R/1;Adolfo Jair Biscaino Azambuja;;30848
Doutor;Adolfo Luis Rauschenplat;;32295
Civil;Adolfo Martins;461/SC;39958
3S QESA SAD;Adolfo Moreira de Melo Neto;327/SCC;36665
SO QSS BMA;Adolfo Motonobu Miura;;34131
Gen Ex;Adolfo Neves Manta;;25045
Cel Av (DAEN);Adolfo Pérez Saldias;400/SCC;35593
Gen Div;Adolfo Samaniego;;29388
Major;Adolfo Washington Arelano Velastegui;;24806
Deputado Federal;Adolpho Barbosa Neto de Oliveira;;33024
Senhor;Adolpho Bloch;;29753
Cel Dent;Adolpho Bucaresky;;27941
Embaixador;Adolpho Corrêa de Sá e Benevides;;27204
Maj Av;Adolpho da Silveira Pouman;;25395
Ten Cel Int;Adolpho de Lima Câmara;;23565
Doutor;Adolpho de Oliveira Franco Júnior;;29388
Cap Av;Adolpho Herman Otto Thiele;;23565
Gen Div;Adolpho João de Paula Couto;;24299
SO QSS BEI;Adolpho Pereira;;28306
Doutor;Adolpho Polillo;;30483
Senhor;Adomilson Clemente Domingos;687/SC;38525
Cap Méd;Adonay Tavares;;24114
Cap Av;Adone Collaço Sottovia;;22635
Jornalista;Adonias Filho;;26843
Cel Av R/1;Adonil Gonçalves de Carvalho;408/SC;37399
Cap Esp CTA;Adoniran Nascimento;341/SC;40323
Maj Av;Adonis Lukianski;271/SC;40682
Ten Cel Ex;Adonis Rodrigues de Guimarães e Santos;;26115
1S QSS BSP ;Adorsiano Tadeu Guilherme;798/SCGC;42886
Comandante de Grupo (Chile);Adrián Alfonso Bravo Carrasco;531/SC;37782
Ten Cel;Adrian Jara Soza;;21492
Cel Av  R/1;Adrian Nicolaiev Pereira dos Santos;408/SC;37399
Maj Med (Argentina);Adrian Onyszczyk Diego;566/SCGC;43969
Analista em C&T (GIS SJ)     ;Adriana Aparecida de Aquino;565/SCGC;42513
Tecnologista Pleno;Adriana Aparecida dos Santos Costa;721/SCGC;29/05/2015
Analista em C&T;Adriana Aparecida Marinelo Rebelo;877/SCGC;41789
SO QFG SAD;Adriana de Andrade Campos;721/SCGC;29/05/2015
Analista em C&T;Adriana De Moura;566/SCGC;43969
Maj Med;Adriana Goncalves Daumas Pinheiro Guimaraes;877/SCGC;41789
Senhora (CEF) ;Adriana Harumi Kitazuka;798/SCGC;42886
1S QSS SAD ;Adriana Lima Santos de Almeida;798/SCGC;42886
Vice-Procuradora-Geral (MPJM);Adriana Lorandi;423/SC;39610
Maj Med;Adriana Martins de Freitas;721/SCGC;29/05/2015
1S QFG SAD;Adriana Medeiros de Vasconcelos Nicolau;596/SC;38875
Senhora;Adriana Mendes Fortes;649/SCGC;43230
Senhora;Adriana Mendonça de Alencar Mattos;667/SC;38160
1º Ten (T);Adriana Pereira Paes Leme;341/SC;40323
Procuradora-Geral (PGFN);Adriana Queiroz de Carvalho;461/SC;39958
Senhora;Adriana Rebello de Almeida Baeta;271/SC;40682
Senhora;Adriana Ribeiro Marques;341/SC;40323
1S QFG SAD;Adriana Rocha da Fonseca;461/SC;39958
Maj QOMED;Adriana Santos do Nascimento Neves Cravo;728/SCGC;43598
Cap Av;Adriano Barbosa Maia;341/SC;40323
Cap QOEA SVE;Adriano Barboza De Albuquerque;566/SCGC;43969
TM QTA TCO;Adriano Barreto dos Santos Júnior;;33024
1S QSS STO;Adriano Batista Camargo;728/SCGC;43598
Ten Cel Av;Adriano Beraldo Andrade;687/SC;38525
SO QSS SGS;Adriano Braz de Lima;461/SC;39958
Senhor;Adriano Ceres França;388/SC;39248
Cel Av;Adriano Cesarino Vargas;461/SC;39958
Cap Esp CTA;Adriano Crisóstomo de Carvalho;423/SC;39610
3S SAD;Adriano da Silva;262/SC;41058
CT (AA);Adriano Da Silva;566/SCGC;43969
Maj Av;Adriano da Silva Guedes;341/SC;40323
1º Ten QOEA SVA;Adriano Da Silva Melo;566/SCGC;43969
Senhor;Adriano de Amorim Fernandes;;28306
Senhor;Adriano de Oliveira Barbosa;;31945
1S QSS SEF;Adriano de Souza;728/SCGC;43598
Ten Cel Art;Adriano de Souza Azevedo;341/SC;40323
Maj Av;Adriano do Nascimento;423/SC;39610
Ten Cel Int;Adriano Eustáquio Severo;596/SC;38875
Cap (Ex);Adriano Fernandes Netto;;24114
Ten Cel Av;Adriano Ferreira de Carvalho;461/SC;39958
Cel INF;Adriano Fructuoso da Costa;728/SCGC;43598
SO QSS BET;Adriano Geraldo Antunes Lima;728/SCGC;43598
Maj Av ;Adriano Geraldo Gonçalves Pereira;798/SCGC;42886
Tecnologista Sênior;Adriano Gonçalves;877/SCGC;41789
2S QSS SAD ;Adriano Henrique Faria;968/SC;41428
1º Ten QOCON MÉD;Adriano Jésus Thomaz Waewell;341/SC;40323
Cap Inf;Adriano José do Nascimento;262/SC;41058
SO QSS BCO ;Adriano José Ferraz;798/SCGC;42886
Maj Av;Adriano Kunze Rigon;341/SC;40323
SO QSS BEP;Adriano Lara;566/SCGC;43969
Maj Int;Adriano Maia Ribeiro de Azevedo;565/SCGC;42513
CMG;Adriano Marcelino Batista;565/SCGC;42513
SO QSS BCT;Adriano Marco Segatto do Nascimento;728/SCGC;43598
Cap QOEA CTA;Adriano Melo Dos Santos;566/SCGC;43969
Professor;Adriano Motta Gallo;566/SCGC;43969
Professor;Adriano Nervo Codato;566/SCGC;43969
Procurador-Regional Substituto (PRFN-1)     ;Adriano Oliveira Chaves;565/SCGC;42513
1S QSS BMT;Adriano Pereira Camilo;565/SCGC;42513
Subsecretário de Política Fiscal da STN ;Adriano Pereira de Paula;798/SCGC;42886
Gen Ex;Adriano Pereira Júnior;423/SC;39610
Maj Av;Adriano Piccioni;;30118
Advogado;Adriano Portella de Amorim;531/SC;37782
Ten Cel Esp CTA;Adriano Prates Galesi;;26115
Engenheiro;Adriano Ricardo Ferreira de Araujo;262/SC;41058
Ten Cel Int;Adriano Rodrigues;271/SC;40682
Ten Cel Eng;Adriano Uber;;30118
CF;Adriano Vieira;271/SC;40682
1S QSS BCT;Adriano Vita Do Nascimento;566/SCGC;43969
Senhora;Adrienne Bolland;;22356
Procuradora da FN;Adrienne Gianetti Nelson de Senna Jobim;;32295
Senhor;Adroaldo Hamaceck Barbosa;;31580
Doutor;Adroaldo Junqueira Ayres;;20836
Senhor;Adroaldo Silveira Rodrigues;;27941
SO QSS BMA;Adson José Piletti;271/SC;40682
Senhor;Advaldo Ribeiro Azevedo Caldas;423/SC;39610
SO QSS BET;Adverto Souza Filho;423/SC;39610
Doutor;Adwalter Ribeiro Soares;;20839
Cel Int;Adylson de Albuquerque Ennes;;29011
Ministro (TCU);Adylson Martins Motta;;33389
Ten Cel Esp Com;Adyr Andrade Cescatto;;21205
Maj Brig Ar;Adyr da Silva;;25399
Cel R/R;Adyr de Albuquerque Mello;;22635
Gen Bda;Adyr Fiúza de Castro;;25045
Cap Esp CTA;Aécio Flávio do Carmo;;32295
Cel Int;Aécio Francisco de Carvalho;;26115
Ten Cel Eng;Aécio Medeiros;;28671
Ten Cel Ex;Aécio Morrot Coelho;;23013
Doutor;Aécio Nery de Almeida Soares;;30118
Presidente da Câmara dos Deputados;Aécio Neves da Cunha;410/SC;37033
Senador (MG);Aelton José de Freitas;596/SC;38875
Cap QOEA R1;Aercio da Silva;423/SC;39610
Gen Div;Affonso Augusto de Albuquerque Lima;;24667
Doutor;Affonso Carlos Agapito da Veiga;;29388
Ten Cel Ex;Affonso Celso Bodstain;;23390
Embaixador;Affonso Celso de Ouro-Preto;;31945
Doutor;Affonso Celso Pastore;;30118
Comandante;Affonso Celso Souza de Carvalho;;30848
Brig Ar;Affonso de Araújo Costa;;23209
Doutor;Affonso D'Esgragnole Taunay;;20836
Professor;Affonso Gianico Filho;;30483
Maj Ex;Affonso Henrique Coelho;;24299
Cel Av;Affonso Henriques Rodrigues de Sousa;;31580
1º Secretário;Affonso José Santos;;30483
SO QSS BET;Affonso Moreira Martins;;27204
Procurador da Fazenda Nacional (PE);Affonso Neves Baptista Neto;667/SC;38160
Cel Av;Affrânio de Oliveira Thomaz;;28306
Senhor;Afonso Almiro;;23025
Cônsul;Afonso Alvaro De Siqueira Carbonar;566/SCGC;43969
Senhor;Afonso Alves da Silva;328/SCC;36665
Maj Méd;Afonso Ângelo Matoso;;30848
Doutor;Afonso Arinos de Melo Franco;;20839
Vice-Almirante;Afonso Barbosa;531/SC;37782
Brig Méd;Afonso Carvalho Cerqueira Cardoso Antunes;;20828
Doutor;Afonso Celso Moraes de Souza Carmo;;32659
Brig Ar;Afonso Celso Parreiras Horta;;20828
SO QSS BEI;Afonso Celso Silva de Souza;565/SCGC;42513
Doutor;Afonso Celso Tavares Crespo;;30848
