Cel Inf;SERGIO ROBERTO RIPP;(Oficial)
SO QSS SGS;SIDNEI LUIZ DE ARAUJO;(Cavaleiro)
Cel Av;SIDNEI VELLOSO DA SILVA JUNIOR;(Oficial)
SO QSS BMT;SIDNEY SILVESTRE DA SILVA;(Cavaleiro)
Ten Cel Av;SILVIO GONÇALVES PEREIRA;(Cavaleiro)
SO QSS BCO;SILVIO JOSÉ DE OLIVEIRA;(Cavaleiro)
Cel Cav;TALMO EVARISTO DO NASCIMENTO;(Oficial)
Ministro de Estado;TARCÍSIO GOMES DE FREITAS;(Grande-Oficial)
Secretário-Executivo;TÉRCIO ISSAMI TOKANO;(Grande-Oficial)
Delegado;THIAGO MARCANTONIO FERREIRA;(Oficial)
SO QSS BMA;VALDEMIR MANOEL DE SANTANA;(Cavaleiro)
Senhor;VALDEMIR REGIS FERREIRA DE OLIVEIRA;(Oficial)
Maj Brig Ar;VALDIR EDUARDO TUCKUMANTEL CODINHOTO;(Grande-Oficial)
SO QSS SAD;VALMIR VASCONCELOS MIRANDA;(Cavaleiro)
Maj Brig Ar;VALTER BORGES MALTA;(Grande-Oficial)
Senhor;VALTER FERREIRA DA SILVA;(Cavaleiro)
Senador (GO);VANDERLAN VIEIRA CARDOSO;(Grande-Oficial)
SO QSS BMA;VARNEI ALVES SANTOS;(Cavaleiro)
Embaixador;VILMAR ROGEIRO COUTINHO JUNIOR;(Comendador)
Maj Brig Ar;VINCENT DANG;(Grande-Oficial)
SO (ET);WASHINGTON DOS SANTOS OLIVEIRA;(Cavaleiro)
Cel Av;WEBERT ROMEIRO FREIRE;(Oficial)
SO QSS BCT;WELBER WILLIAM RIBEIRO DE BRUM;(Cavaleiro)
SO QSS BEI;WELLINGTON PINHEIRO PRALON;(Cavaleiro)
Cel QOESUP;WILLIAM SILVA DA CUNHA;(Cavaleiro)
SO QSS BMA;WILSON ANDRE VALE DE SOUZA;(Cavaleiro)
SO QSS BMA;WILSON APARECIDO COMITRE;(Cavaleiro)
Cel Av;WILSON TOMAZ DA SILVA;(Comendador)
Cel Av;WILTON DA CRUZ BARROS;(Oficial)
Cel Med;YOSHIBUMI KUMETA;(Cavaleiro)
