Senador (TO);CARLOS EDUARDO TORRES GOMES;(Grande-Oficial)
SO QSS BMA;CARLOS HENRIQUE HENRY HILLMER;(Cavaleiro)
Cel Int;CARLOS JOSÉ RODRIGUES;(Cavaleiro)
Gen Bda;CARLOS MAURÍCIO BARROSO SARMENTO;(Comendador)
Cap QAO;CARLOS PEREIRA DA COSTA;(Cavaleiro)
Cel Inf (EB);CARLOS VICTOR TEIXEIRA DE VASCONCELOS;(Oficial)
Cel Med;CARMEM HELOISA PEREIRA LIMA;(Cavaleiro)
SO QSS BMA;CELESTE JOSÉ DISCACCIATI;(Cavaleiro)
Cel Av;CÉLIO OTÁVIO ARAÚJO GALVÃO;(Oficial)
Doutor;CELSO CELIDONIO;(Comendador)
2º Ten QAO;CESAR ANTONIO DE ALMEIDA;(Cavaleiro)
Cel Int;CÉSAR AUGUSTO DOS SANTOS COUTO;(Cavaleiro)
Brig Ar;CESAR FARIA GUIMARÃES;(Comendador)
Cel Int;CESAR FERNANDEZ DOS SANTOS;(Oficial)
Cel Av;CHARLES HENRIQUE FERREIRA;(Cavaleiro)
Cel Av;CHRYSTIAN ALEX SCHERK CICCACIO;(Cavaleiro)
Senhor;CIRO SACCAB;(Oficial)
Cel Av;CLAUCO FERNANDO VIEIRA ROSSETTO;(Oficial)
Embaixadora;CLAUDIA FONSECA BUZZI;(Grande-Oficial)
Cel Med;CLAUDIO COLARES LESSA;(Cavaleiro)
Delegado;CLÁUDIO FERREIRA GOMES;(Cavaleiro)
SO QSS SAD;CLÁUDIO ROBERTO RAFAEL NUNES;(Cavaleiro)
Cel Av;CLAUDIO TEIXEIRA BARROS;(Cavaleiro)
Cel Av;CLÁUDIO WILSON SATURNINO ALVES;(Oficial)
SO QSS BCO;CLEBER MENDES DE LIMA;(Cavaleiro)
2º Ten QAO;CLEOMAR MENESES BRASIL;(Cavaleiro)
Doutor;CLEYTON RIBEIRO JUNIOR;(Oficial)
SO QSS BMA;CRISTIANO ARAUJO CHAVES;(Cavaleiro)
Diretor;CRISTIANO AUGUSTO TREIN;(Oficial)
Brig Eng;DALMO JOSÉ BRAGA PAIM;(Comendador)
Cel Av;DAN MARSHAL FREITAS;(Cavaleiro)
Cel Av;DANIEL CAVALCANTI DE MENDONÇA;(Oficial)
Cel Art;DANILO SILVA MAIA;(Oficial)
SO QSS SAD;DARCI ROGERIO PEREIRA LAHRA;(Cavaleiro)
Cel Av;DARCTON POLICARPO DAMIÃO;(Oficial)
SO QSS SAD;DAVI DA SILVA PEREGRINA;(Cavaleiro)
General (EUA);DAVID L. GOLDFEIN;(Grande-Oficial)
Cel Int;DELMO SIFRÔNIO FREIRE;(Oficial)
Senhor;DIEGO TORRES DOURADO;(Cavaleiro)
Deputada Federal (RO);DIRLAINE JAQUELINE CASSOL;(Grande-Oficial)
Cel Av;DOUGLAS SABADINI MARQUES;(Oficial)
Comodoro (ARGENTINA);EDGARDO GUSTAVO SIGLER;(Oficial)
SO QSS SGS;EDSON DUARTE PINTO;(Cavaleiro)
C Alte;EDUARDO AUGUSTO WIELAND;(Comendador)
Cel Inf (EB);EDUARDO CERQUEIRA DA SILVA;(Oficial)
SO QSS BCO;EDUARDO DE OLIVEIRA RODRIGUES;(Cavaleiro)
SO QSS SGS;EDUARDO GONÇALVES DE CARVALHO;(Cavaleiro)
Cel Av;EDUARDO MIGUEL SOARES;(Oficial)
SO QSS BMA;EDUARDO VIEIRA MARQUES;(Cavaleiro)
Ten Cel Inf (EB);ELERSON OMAR MOTA TEIXEIRA;(Cavaleiro)
Cel Int;ELESIO MARTINS FERREIRA;(Cavaleiro)
Cel QOEFOT;ELISEU DIAS DA SILVA;(Cavaleiro)
SO QSS BMA;ELIVALDO DOS SANTOS CASTRO;(Cavaleiro)
SO QSS SMU;ELYMILSON MOREIRA SILVA JUNIOR;(Cavaleiro)
Cel Av;EMERSON DE OLIVEIRA;(Cavaleiro)
SO QSS BMA;ERASMO FEITOSA DE MOURA;(Cavaleiro)
Cel Med;ERICKA RABELLO GALHARDI;(Cavaleiro)
Cel Av;ERNANI MENDES SALLES;(Oficial)
Gen Div Int;EUGENIO ENEIAS CAMILO;(Grande-Oficial)
Delegado;EVARISTO PONTES MAGALHÃES;(Oficial)
Cel Av;EVERTON GERALDO CHÁCARA;(Cavaleiro)
SO QSS BEV;EVERTON ITABORAI MATTOS;(Cavaleiro)
Cel Cav;FABIANO ESPÍNOLA ARAUJO;(Oficial)
Auditor Federal;FABIANO MAIA PEREIRA;(Cavaleiro)
Professor Doutor;FÁBIO BARBOZA PASSOS;(Oficial)
SO QSS BCO;FABIO COSTA DE SOUZA;(Cavaleiro)
Cel Inf (EB);FÁBIO DE OLIVEIRA PEREIRA;(Oficial)
SO QSS BMA;FABIO FERREIRA DA COSTA;(Cavaleiro)
Cel Av;FÁBIO LUÍS CUZZIOL;(Cavaleiro)
Cel Av;FÁBIO LUÍS MORAU;(Oficial)
Cel Av;FÁBIO LUIZ BARBOSA RASTELLI;(Cavaleiro)
Cel Av;FABIO SANTOS DE VASCONCELOS;(Cavaleiro)
Cel Inf;FÁBIO SILVEIRA DE LIMA;(Cavaleiro)
Ministro de 2ª Classe;FELIPE GASTÃO BANDEIRA DE MELLO;(Comendador)
S Ten Inf;FELIPE RODRIGO LINS;(Cavaleiro)
Deputado Federal (BA);FELIX DE ALMEIDA MENDONÇA JÚNIOR;(Grande-Oficial)
Gen Ex;FERNANDO JOSÉ SANT'ANA SOARES E SILVA;(Grande-Oficial)
Cel Eng;FERNANDO MARCUS DA ROCHA CERQUEIRA;(Oficial)
Alte Esq;FLÁVIO AUGUSTO VIANA ROCHA;(Grande-Oficial)
Gen Bda;FLAVIO MAYON FERREIRA NEIVA;(Comendador)
Embaixador;FLÁVIO SOARES DAMICO;(Grande-Oficial)
Senhora;FRANCISCA OLGA DE FLORES JUNIOR;(Oficial)
Cel Av;FRANCISCO BENTO ANTUNES NETO;(Oficial)
Cel Med;GEORGIA CLAUDIA TRADE SANTOS MILIDIÚ;(Cavaleiro)
SO QSS BMA;GERALDO DE SOUZA CONCEIÇAO;(Cavaleiro)
Brig Med;GERALDO JOSÉ RODRIGUES;(Comendador)
Cel Capl;GERALDO PIO;(Oficial)
Cel Inf (EB);GIAN DERMÁRIO DA SILVA;(Oficial)
Cel Av;GIL EDUARDO DE LIMA E SILVA;(Cavaleiro)
V Alte;GILBERTO SANTOS KERR;(Grande-Oficial)
1º Sgt Eng;GILMAR BARBOZA RODRIGUES;(Cavaleiro)
Brig Int;GILSON ALVES DE ALMEIDA JÚNIOR;(Comendador)
Cel Av;GILSON ANTONIO DA SILVA SOBRAL;(Cavaleiro)
1S QSS SGS;GILTON OLIVEIRA DE MORAES;(Cavaleiro)
Senhor;GIOVANNI SULLA;(Oficial)
Cel Int (EB);GLADSTONE BARREIRA JUNIOR;(Oficial)
Cel Dent;GLAUCE AMARAL PINTO RUBIM;(Oficial)
1S QSS SAD;GRAZIELA DE SOUSA AZEVEDO;(Cavaleiro)
2º Ten QOEA CTA;GUARACI OLIVEIRA DA GRAÇA;(Cavaleiro)
Gen Div;GUIDO AMIN NAVES;(Grande-Oficial)
V Alte (EN);GUILHERME DIONIZIO ALVES;(Grande-Oficial)
CMG (MD);GUILHERME GUIMARÃES WIMMER;(Oficial)
Senhor;GUILHERME MACIEL AMORIM;(Oficial)
Gen Bda;GUSTAVO HENRIQUE DUTRA DE MENEZES;(Comendador)
Cel Av;GUSTAVO LUIS DA SILVEIRA E ELISEU;(Oficial)
Cel Av;GUSTAVO PESTANA GARCEZ;(Cavaleiro)
Embaixador;HÉLIO VITOR RAMOS FILHO;(Grande-Oficial)
Professor Doutor;HÉRCULES PEREIRA;(Comendador)
Deputado Federal (PR);HERMES PARCIANELLO;(Grande-Oficial)
Cel Av;ISMAIL BRANDÃO ABTIBOL NETO;(Oficial)
Gen Bda;IVAN DE SOUSA CORRÊA FILHO;(Comendador)
S Ten Inf;IVAN FREIRE DE FREITAS;(Cavaleiro)
Cel Int;IVAN LUIZ DE SIQUEIRA;(Cavaleiro)
Maj Gen (PERU);JAVIER FRANCISCO TRYON CARBONE;(Comendador)
Presidente LATAM;JEROME CADIER;(Oficial)
Senhor;JOÃO BOSCO DA COSTA JUNIOR;(Cavaleiro)
Maj Brig Ar;JOÃO CAMPOS FERREIRA FILHO;(Grande-Oficial)
Embaixador;JOÃO GENÉSIO DE ALMEIDA FILHO;(Grande-Oficial)
Senhor;JOÃO HENRIQUE RIBEIRO FERREIRA;(Oficial)
SO QSS BEI;JOÃO LUIZ BALTAZAR ALVES;(Cavaleiro)
SO (SI);JOÃO ROBERTO BORGES DA SILVA;(Cavaleiro)
Senhor;JOÃO RODRIGUES DA SILVA FILHO;(Cavaleiro)
Cel Av;JOÃO SPENCER FERREIRA DA COSTA JUNIOR;(Cavaleiro)
Presidente AZUL;JOHN PETER RODGERSON;(Oficial)
Diretor;JOHN WEBER ROCHA;(Cavaleiro)
SO QSS BCO;JONILTON SOUZA DE MORAIS;(Cavaleiro)
Maj Brig Eng;JORGE LUIZ CERQUEIRA FERNANDES;(Grande-Oficial)
Procurador;JORGE LUIZ NOGUEIRA DE ABREU;(Cavaleiro)
Cel Av;JORGE MARCELO MARTINS DA SILVA;(Cavaleiro)
SO QSS SEL;JORGE MARCOS CHELOTTI ADÃO;(Cavaleiro)
Senador (SC);JORGINHO DOS SANTOS MELLO;(Grande-Oficial)
Cel Inf (EB);JOSÉ ABINOAN DE SOUSA FILHO;(Oficial)
Doutor;JOSÉ CARLOS COUTO DE CARVALHO;(Grande-Oficial)
Ten Cel QOEAV;JOSÉ DE JESUS SOARES FERNANDES FILHO;(Cavaleiro)
Senhor;JOSÉ FERNANDES PONTES JUNIOR;(Cavaleiro)
Cel Com;JOSÉ FERNANDO CHAGAS MADEIRA;(Oficial)
Maj Brig Ar;JOSÉ MADUREIRA JUNIOR;(Grande-Oficial)
SO QSS BCO;JOSÉ ONIAS SOUZA DE OLIVEIRA;(Cavaleiro)
Brig Ar;JOSÉ RICARDO DE MENESES ROCHA;(Comendador)
Senhor;JOSÉ RICARDO GUIMARÃES;(Cavaleiro)
Senhor;JOSÉ ROBERTO HACHICH MALUF;(Oficial)
C Alte (Md);JOSÉ SALGADO FREIRE DA SILVA;(Comendador)
Gen Div;JOSIAS PEDROTTI DA ROSA;(Grande-Oficial)
Senhora;JULIANA DA SILVA CASTRO NUNES;(Cavaleiro)
Diretor-Presidente ANAC;JULIANO ALCÂNTARA NOMAN;(Comendador)
Cel Av;JULIANO BARROS COTA;(Cavaleiro)
Cel Dent;KARLA VELUSO BARBOSA LIMA;(Cavaleiro)
Cel Av;KENNEDY FERNANDES FERREIRA;(Oficial)
Brig Ar;LÉLIO WALTER PINHEIRO DA SILVA JUNIOR;(Comendador)
Cel Int;LEONARDO FREITAS DE SOUZA LIMA;(Cavaleiro)
Cel Av;LEONARDO GUEDES;(Oficial)
Presidente INSS;LEONARDO JOSÉ ROLIM GUIMARÃES;(Comendador)
Cel Av;LÍBERO ONODA LUIZ CALDAS;(Cavaleiro)
SO QSS BMA;LINDOMAR XAVIER DO NASCIMENTO;(Cavaleiro)
SO QSS BET;LUCIANO BORGES MULLER;(Cavaleiro)
Brig Eng;LUCIANO VALENTIM RECHIUTI;(Comendador)
SO QSS BMA;LUÍS ALBERTO SOARES;(Cavaleiro)
Embaixador;LUIS ANTONIO BALDUINO CARNEIRO;(Grande-Oficial)
Cel Av;LUIS CLAUDIO VELOSO GONÇALVES;(Oficial)
Cel Av;LUIS FELIPE DA SILVEIRA E ELISEU;(Cavaleiro)
Professor Doutor;LUIS MANUEL REBELO FERNANDES;(Cavaleiro)
Cel Inf;LUIS MARCELO SOTORIVA;(Cavaleiro)
Cel QOEAV;LUIZ ALBERTO FERREIRA MONTEIRO;(Cavaleiro)
Cel Av;LUIZ CESAR ZAMPIER ULBRICH;(Cavaleiro)
SO QSS BMA;LUIZ CLAUDIO DE SOUSA PASSARONI;(Cavaleiro)
Cel Inf (EB);LUIZ DUARTE DE FIGUEIREDO NETO;(Oficial)
Deputado Federal (RJ);LUIZ EDUARDO CARNEIRO DA SILVA DE SOUZA LIMA;(Grande-Oficial)
Cel Dent;LUIZ FERNANDO DA FONSECA;(Cavaleiro)
