ORD;QUALIFICAÇÃO;AGRACIADO;PORTARIA;DATA
3392;Terceiro-Sargento QESA SGS;Claudio Augusto Keppler;048/SCC;18/01/1996
3393;Suboficial QSS BEV;Cláudio Augusto Lima Santos;130/SCGC;03/02/2014
3394;Primeiro-Tenente ;Cláudio Azevedo;100/SCC;20/02/1997
3395;Subtenente de Infantaria;Claudio Azevêdo da Silva;107/SC;25/02/2010
3396;Suboficial QSS SEF;Claudio Benedito Guimarães;161/SC;21/02/2003
3397;Suboficial QSS SDE;Claudio Bonfim Ramos;58/SC;14/02/2012
3398;Suboficial QSS SEL;Cláudio Carneiro de Albuquerque;160/SCC;16/03/1994
3399;Suboficial BSP;Claudio Carvalheira Costa;107/SC;25/02/2010
3400;Senhor;Cláudio Cesar Valeski;047/SCC;20/01/1981
3401;Suboficial QSS BEP;Claudio Coelho Ferreira;870/SCC;20/12/1991
3402;Segundo-Sargento QSS BCO;Claudio Constantino Vasconcelos Junior;1.659/SCGC;21/12/2016
3403;Primeiro-Sargento QSS BMA;Claudio Correa Lopes;141/SC;19/02/2002
3404;Suboficial QSS BMA;Cláudio Costa de Moura;98/SCC;18/02/1998
3405;Segundo-Sargento QSS BSP;Cláudio Cruz dos Santos;870/SCC;20/12/1991
3406;Subtenente de Engenharia;Cláudio da Costa Veloso;81/SC;07/02/2011
3407;Terceiro-Sargento QSS BMA;Cláudio da Silva Costa;130/SCGC;03/02/2014
3408;Primeiro-Sargento QSS BFT;Claudio De Almeida Carvalho;1.659/SCGC;21/12/2016
3409;Suboficial QSS SOB;Cláudio de Azevedo Lima;182/SCGC;18/02/2015
3410;Suboficial QSS BEI;Claudio de Azevedo Mecenas;2/SCGC;06/01/2020
3411;Suboficial QSS SOB;Claudio de Castro Nunes;90/SCC;22/02/1999
3412;Segundo-Sargento QSS BCO;Claudio de Faria Madeira;58/SC;14/02/2012
3413;Primeiro-Sargento de Aviação/Manutenção;Claudio de Matos Ramos;80/SC;26/02/2008
3414;Primeiro-Sargento QSS BET;Claudio de Sousa Botelho;106/SC;21/02/2007
3415;Suboficial QSS SAD;Cláudio dos Santos Moreira;1194/SCC;15/12/1986
3416;Suboficial QSS SAD;Claudio dos Santos Paz;968-A/SCC;14/12/1990
3417;Suboficial QSS BSP;Claudio Duques Roberto;189/SC;07/02/2013
3418;Suboficial SEM;Cláudio Eduardo de Macedo Costa;80/SC;26/02/2008
3419;Primeiro-Sargento QSS SAD;Cláudio Fernandes Martins;161/SC;21/02/2003
3420;Suboficial QSS BET;Claúdio Fernando de Oliveira Tabosa;113/SCC;28/02/2000
3421;Suboficial QSS SAD;Cláudio Fernando Gameiro Costa;113/SCC;28/02/2000
3422;Suboficial QSS BMA;Claudio Ferran da Encarnação;182/SCGC;18/02/2015
3423;Suboficial QSS BMA;Cláudio Ferreira Kunz;841/SCC;01/12/1988
3424;Primeiro-Sargento QSS SGS;Cláudio Gilberto dos Santos Araújo;98/SCC;18/02/1998
3425;Senhor;Claudio Gonçalves dos Santos;90/SCC;22/02/1999
3426;Segundo-Sargento QSS SIN;Claudio Gonçalves Soares Junior;182/SCGC;18/02/2015
3427;Primeiro-Sargento QSS SEL;Claudio Gonçalves Victor;2/SCGC;06/01/2020
3428;Suboficial BEI;Cláudio Haro Pinto;107/SC;25/02/2010
3429;Suboficial QSS SOB;Claudio Henrique da Rocha Martins;202/SC;18/02/2004
3430;Suboficial QSS BEI;Claudio Henrique de Moraes Carlos;29/SCGC;29/01/2016
3431;Primeiro-Sargento QSS SAD;Cláudio Henrique de Sousa Lima;193/SCC;20/02/1995
3432;Senhor;Claudio Henrique Machado Braga;81/SC;07/02/2011
3433;Primeiro-Sargento SGS;Claudio Henrique Soares;81/SC;07/02/2011
3434;Suboficial QSS BMB;Cláudio Isaias Poll;160/SCC;16/03/1994
3435;Suboficial QSS SEM;Claudio Janio Magalhães;107/SC;25/02/2009
3436;Suboficial QSS SEF;Claudio João Guedes Souza;1.659/SCGC;21/12/2016
3437;Suboficial QSS SAD;Cláudio Jorge Yunes;202/SC;18/02/2004
3438;Suboficial QSS SEM;Claudio José Assumpção Cordeiro;100/SCC;20/02/1997
3439;Suboficial QSS BMA;Claudio José Bastos;58/SC;14/02/2012
3440;Suboficial (FN-IF);Cláudio José Corrêa;1.659/SCGC;21/12/2016
3441;Primeiro-Sargento QSS BET;Claudio José da Silva;189/SC;07/02/2013
3442;Segundo-Sargento QSS SAD;Claudio José da Silva;6/SCGC;08/01/2018
3443;Suboficial QSS SAD;Claudio José de Sá;100/SCC;20/02/1997
3444;Primeiro-Sargento QSS SGS;Claudio José dos Reis;189/SC;07/02/2013
3445;Terceiro-Sargento QTA TCO;Cláudio José Gama de Almeida;113/SCC;28/02/2000
3446;Suboficial QSS BMT;Claudio José Moncada Pereira;58/SC;14/02/2012
3447;Segundo-Tenente QOEA;Cláudio José Seibel;1057/SCC;20/12/1985
3448;Suboficial QSS SAD;Cláudio José Teixeira;113/SCC;28/02/2000
3449;Suboficial QSS SAD;Cláudio Juarez Domingues Ramos;1057/SCC;20/12/1985
3450;Primeiro-Sargento QSS BET;Claudio Junior Oviedo de Macedo;2/SCGC;06/01/2020
3451;Suboficial BMA;Claudio Kamaura Terra;80/SC;26/02/2008
3452;Suboficial QSS SAD;Cláudio Lacerda Thomazine;141/SC;19/02/2002
3453;Suboficial QSS SAD;Cláudio Landi;047/SCC;20/01/1981
3454;Suboficial QSS BEI;Claudio Lima da Rocha;58/SC;14/02/2012
3455;Terceiro-Sargento BM;Claudio Lino da Hora;80/SC;26/02/2008
3456;Primeiro-Sargento QSS SEL;Cláudio Lourenço de Lima Junior;10/SCGC;10/01/2019
3457;Subtenente de Material Bélico;Claudio Luís Bueno do Nascimento;58/SC;14/02/2012
3458;Primeiro-Sargento BSP;Claudio Luis de Araujo Batista;80/SC;26/02/2008
3459;Suboficial QSS ;Claudio Luiz da Silva;247/SC;06/03/2006
3460;Suboficial BMA;Cláudio Luiz da Silva;81/SC;07/02/2011
3461;Senhor;Cláudio Luiz da Silva Nunes;80/SC;26/02/2008
3462;Suboficial QSS BMA;Claudio Luiz de Oliveira Santos;182/SCGC;18/02/2015
3463;Suboficial QSS SOB;Claudio Luiz dos Santos Pinheiro;247/SC;06/03/2006
3464;Suboficial QSS BCT;Claudio Luiz Guanabara;58/SC;14/02/2012
3465;Suboficial QSS SMU;Claudio Luiz Maciel Ceni;204/SC;22/02/2005
3466;Suboficial QSS BET;Cláudio Luiz Malta;141/SC;19/02/2002
3467;Suboficial QSS SMU;Cláudio Luiz Nascimento Bomfim;161/SC;21/02/2003
3468;Primeiro-Sargento BMA;Claudio Luz de Almeida;80/SC;26/02/2008
3469;Suboficial QSS BMA;Cláudio Lysias Peixoto;048/SCC;18/01/1996
