QUALIFICAÇÃO;NOME;PORTARIA;DATA
Suboficial QSS BET;Jaime Soares Bastos;202/SC;38035
Suboficial QSS BMA;Jaime Soldatelli;193/SCC;34750
Suboficial QSS BMA;Jaime Viana de Oliveira;189/SC;41312
Segundo-Sargento SAD;Jainara Santos Silva Mendonça;107/SC;40234
Taifeiro de Primeira Classe QTA TAR;Jair Afonso Costa;051/SCC;34026
Suboficial QSS BMA;Jair Amaral Bomfim Junior;130/SCGC;41673
Suboficial QSS BEV;Jair Antônio Kimkowski;931/SCC;32854
Segundo-Sargento TBA;Jair Azevedo Barbosa;81/SC;40581
Senhor;Jair Azevedo de Oliveira;202/SC;38035
Suboficial QSS SML;Jair Bento Rodrigues;1194/SCC;31761
Suboficial QSS BMA ;Jair Cândido da Silva;870/SCC;33592
Suboficial QSS SAD ;Jair Chaves de Medeiros;1172/SCC;32126
Primeiro-Sargento QSS SDE;Jair Costa;047/SCC;29606
Suboficial QSS BMB;Jair da Cruz Almeida;113/SCC;36584
Senhor;Jair da Rocha Castellano;1057/SCC;31401
Suboficial QSS BMT;Jair da Silva Santos Junior;130/SCGC;41673
Primeiro-Sargento QSS SDE;Jair de Araújo;091/SCC;29240
Suboficial QSS BET;Jair dos Santos Lima;106/SC;39134
Taifeiro-Mor QTA TAR;Jair Félix de Lima;98/SCC;35844
Senhor;Jair Fernandes;130/SCGC;41673
Cabo QCB SAD;Jair Ferreira de Oliveira;81/SC;40581
Senhor;Jair Ferreira de Souza;091/SCC;29240
Suboficial QSS BSP;Jair Fialho da Silva;1057/SCC;31401
Primeiro-Sargento QSS BMA;Jair Figueiredo Neto;968-A/SCC;33221
Suboficial QSS BCO;Jair Furtado Santos;161/SC;37673
Suboficial SGS;Jair Giovane Gomes da Silva;19/SCGC;44207
Suboficial QSS BSP;Jair Hansem Dutra;051/SCC;34026
Capitão;Jair Jorge Guimarães;051/SCC;34026
Segundo-Sargento QSS BMB;Jair Mário Cardoso;90/SCC;36213
Primeiro-Sargento QSS BSP;Jair Medeiros de Souza Silva;189/SC;41312
Suboficial BET;Jair Monteiro do Nascimento;107/SC;40234
Primeiro-Sargento QSS SEF;Jair Montenário;193/SCC;34750
Primeiro-Sargento QSS SGS;Jair Paulo da Silva Neto;58/SC;40953
Primeiro-Sargento QSS BMB;Jair Pedro Palermo;968-A/SCC;33221
Senhor;Jair Reis Martins;051/SCC;34026
Subtenente de Comunicações;Jair Renato Hentges;6/SCGC;43108
Terceiro-Sargento QC (FI);Jair Rodrigues da Cruz;092/SCC;29971
Suboficial QSS SEM;Jair Rodrigues Fernandes;1172/SCC;32126
Suboficial QSS BEP;Jair Seabra de Souza;100/SCC;35481
Primeiro-Sargento SOB;Jair Silva de Carvalho;81/SC;40581
Senhor;Jair Siqueira Lima;29/SCGC;29/01/2016
Terceiro-Sargento QC (FI);Jair Trajano de Souza;047/SCC;29606
Taifeiro-Mor QTA TCO;Jair Vieira Barradas;116/SCC;30701
Segundo-Sargento QSS SAD;Jair Zanco Braido;160/SCC;34409
Cabo QCB SAD;Jaires Paiva Ferreira;81/SC;40581
Suboficial QSS SEL;Jairo Ademir Lopes;1194/SCC;31761
Senhor;Jairo Alves de Souza Aguiar;092/SCC;29971
Suboficial QSS BMA;Jairo André;051/SCC;34026
Senhor;Jairo Benedito de Souza;160/SCC;34409
Suboficial QSS BMA;Jairo Braga;113/SCC;36584
Cabo QCB SDE;Jairo Cavalcanti Ferreira;189/SC;41312
Suboficial QSS BET;Jairo Cruz Santos;141/SC;37306
Segundo-Sargento QSS SMU;Jairo da Silva;107/SC;39869
Suboficial QSS BSP;Jairo de Carvalho Rodrigues;182/SCGC;42053
Suboficial QSS ;Jairo de Castro Motta;247/SC;38782
Suboficial QSS SGS;Jairo de Freitas Gomes;204/SC;38405
Terceiro-Sargento QESA SDE;Jairo de Paula Baptista;2/SCGC;43836
Primeiro-Sargento (Eng);Jairo Della Giustina;202/SC;38035
Terceiro-Sargento;Jairo Dias Gouvea;202/SC;38035
Primeiro-Sargento QSS BMB;Jairo Evandro Zillmer;130/SCGC;41673
Suboficial QSS SEL;Jairo Ferreira dos Santos;204/SC;38405
Suboficial QSS BMA;Jairo Gaspar de Lima;204/SC;38405
Primeiro-Sargento QSS SMU;Jairo Henrique Da Silva;1.659/SCGC;42725
Primeiro-Sargento QSS SGS;Jairo João Ferreira;086/SCC;30336
Suboficial SAD;Jairo José da Silva;107/SC;40234
Suboficial QSS BFT;Jairo José de Melo;2/SCGC;43836
Suboficial QSS SAD;Jairo Machado da Silva;1194/SCC;31761
Primeiro-Sargento QSS SEL;Jairo Macieira Renzetti;160/SCC;34409
Suboficial QSS BMA;Jairo Messias dos Santos;841/SCC;32478
Suboficial QSS SML;Jairo Motta da Silva;113/SC;36944
Suboficial (CA);Jairo Moura de Lima;189/SC;41312
Suboficial QSS BMA;Jairo Pimenta da Silva;141/SC;37306
Suboficial BEI;Jairo Polo de Faria;107/SC;40234
Terceiro-Sargento QESA SAD;Jairo Ponciano Fernandes;113/SC;36944
Segundo-Sargento SEL;Jairo Raposo Junior;81/SC;40581
Suboficial QSS BCT;Jairo Roberto da Silva;58/SC;40953
Suboficial QSS SGS;Jairton Juvencio dos Santos;113/SC;36944
Segundo-Sargento QSS SEM;Jaison Neves da Costa;189/SC;41312
Suboficial QSS SGS;Jaldenir de Souza Moreira;100/SCC;35481
Primeiro-Sargento de Comunicações;Jales Paulo Simões;2/SCGC;43836
Suboficial QSS SAD;Jalino Euclides Diniz Oliveira;107/SC;40234
Suboficial QSS BMT;Jalles Valle de Mello;116/SCC;30701
Segundo-Sargento QSS SAD;Jame Borges Mota;29/SCGC;29/01/2016
Suboficial QSS BMA;Jamerson da Costa Souza;130/SCGC;41673
Primeiro-Sargento BCO;James Fetzer da Costa;107/SC;40234
Cabo QCB BEP;James Gonçalves de Oliveira;141/SC;37306
Primeiro-Tenente QOEA;James Melo de Meneses;1172/SCC;32126
Primeiro-Sargento QSS SOB;Jamesson Afonso Santos;130/SCGC;41673
Primeiro-Sargento QSS SMU;Jamesson José de Santana;130/SCGC;41673
Suboficial QSS BMT;Jamil Celso Commodo;107/SC;39869
Suboficial QFG SAD;Jamille Barreto Amâncio;202/SC;38035
Suboficial (AV-SV);Jamilson Carlos Costa;182/SCGC;42053
Segundo-Tenente QOEA GDS;Jamilton de Oliveira;161/SC;37673
Suboficial QSS SGS;Jamir Pires de Souza;193/SCC;34750
Suboficial QFG SAD;Janaína Aparecida Monteiro da Silva;58/SC;40953
Segundo-Sargento QSS SEF;Janaina Christine Pissarra Antonino;6/SCGC;43108
Suboficial QFG SEF;Janaína Nascimento da Costa Lopes;10/SCGC;43475
Suboficial QSS SEF;Jander França;113/SCC;36584
Suboficial QSS BMA;Jander Gonçalves Di Leu;161/SC;37673
Suboficial QSS SAD;Janderson Firmino da Silva;58/SC;40953
Primeiro-Sargento QSS SAD;Janderson Spinola Cordeiro;2/SCGC;43836
Primeiro-Sargento QSS SGS;Jandir Jerônimo de Brito;086/SCC;30336
Suboficial QSS BCT;Jandir Vicente Zanon de Nardin;98/SCC;35844
Cabo QCB SDE;Jandirlei Feliciano de Araujo;107/SC;39869
Senhora;Jane Cristina Cunha Bragança;189/SC;41312
Senhora;Jane de Azevedo Moreira;1194/SCC;31761
Suboficial QFG SAD;Jane Marcia Baptista dos Santos;189/SC;41312
Senhora;Jane Maria Presa Büttenbender;931/SCC;32854
Suboficial SAD;Jane Moura da Costa;80/SC;39504
Senhora;Janete Alves de Sousa;141/SC;37306
Suboficial SAD;Janete da Silva Gomes de Oliveira Silva;107/SC;40234
Segundo-Sargento QFG SAD;Janete Santos Ribeiro;100/SCC;35481
Senhora;Janette de Souza Rodrigues;931/SCC;32854
Senhora;Janice da Cruz Costa;193/SCC;34750
Senhora;Janice Garcia Franz;141/SC;37306
Primeiro-Sargento SAD;Janice Vitorino dos Santos Pessanha;19/SCGC;44207
Segundo-Sargento QSS SAD;Janildo Guedes Soares;202/SC;38035
Primeiro-Tenente;Janilson Caluete de Farias;160/SCC;34409
Suboficial SMU;Janilson do Amaral;107/SC;40234
Suboficial QSS BSP;Janilson Santos Batalha do Nascimento;2/SCGC;43836
Primeiro-Sargento QSS SAD;Janio Fernandes Dantas;182/SCGC;42053
Senhor;Jânio Manoel de Souza;100/SCC;35481
Senhor;Jânio Rocha Antunes;19/SCGC;44207
Senhor;Janio Rodrigo Mendonça do Nascimento;130/SCGC;41673
Terceiro-Sargento QESA SAD;Jânio Souza Grillo;161/SC;37673
Suboficial QSS SGS;Janir Gomes da Silva;116/SCC;30701
Senhora;Janira Marcia Schauer;202/SC;38035
Cabo SAD;Jansen Marcio Silva;10/SCGC;43475
Segundo-Sargento QSS SAD;Jaqueline Bispo da Mota;182/SCGC;42053
Segundo-Sargento QSS SAD;Jaqueline Pereira Gomes;29/SCGC;29/01/2016
Suboficial QFG SAD;Jaqueline Rodrigues Fernandes;204/SC;38405
Cabo QCB BFT;Jaques da Silva dos Santos;29/SCGC;29/01/2016
Suboficial BMA;Jaques Pedrosa Moisakis;107/SC;40234
