Presidente da Câmara dos Deputados;Brasília;15/12/2022 - 23:40;Maceió;16/12/2022 - 01:45;Serviço/Segurança ;7;;
Presidente da Câmara dos Deputados;Maceió;16/12/2022 - 16:50;Brasília;16/12/2022 - 19:10;Serviço/Segurança ;7;;
Ministro da Economia;Brasília;16/12/2022 - 10:05;Rio de Janeiro (Santos Dumont);16/12/2022 - 11:35;Serviço ;2;;
Ministro da Saúde;Brasília;15/12/2022 - 07:30;Fortaleza;15/12/2022 - 09:50;Serviço ;22;;
Ministro da Saúde;Fortaleza;15/12/2022 - 12:35;Natal (Parnamirim);15/12/2022 - 13:25;Serviço ;22;;
Ministro da Saúde;Natal (Parnamirim);15/12/2022 - 18:30;Manaus (Ponta Pelada);15/12/2022 - 21:10;Serviço ;22;;
Ministro da Saúde;Manaus (Ponta Pelada);16/12/2022 - 16:50;Brasília;16/12/2022 - 20:35;Serviço ;22;;
Comandante da Marinha;Rio de Janeiro (Santos Dumont);16/12/2022 - 17:25;Brasília;16/12/2022 - 19:00;Serviço ;8;;
Presidente do Congresso Nacional;Brasília;18/12/2022 - 10:00;Belo Horizonte (Pampulha);18/12/2022 - 11:00;Serviço/Segurança ;5;;
Presidente do Congresso Nacional;Belo Horizonte (Pampulha);19/12/2022 - 10:40;Brasília;19/12/2022 - 11:45;Serviço/Segurança ;11;;
Comandante da Marinha;Brasília;18/12/2022 - 18:00;Rio de Janeiro (Santos Dumont);18/12/2022 - 19:25;Serviço ;10;;
Comandante da Marinha;Rio de Janeiro (Santos Dumont);19/12/2022 - 18:20;Brasília;19/12/2022 - 19:55;Serviço ;10;;
Comandante da Marinha;Brasília;21/12/2022 - 18:45;Rio de Janeiro (Santos Dumont);21/12/2022 - 20:35;Serviço ;45;;
Presidente do Congresso Nacional;Brasília;22/12/2022 - 18:55;São Paulo (Guarulhos);22/12/2022 - 20:20;Serviço/Segurança ;2;;
Presidente da Câmara dos Deputados;Brasília;22/12/2022 - 11:40;Maceió;22/12/2022 - 13:45;Serviço/Segurança ;3;;
Presidente da Câmara dos Deputados;Maceió;22/12/2022 - 18:10;Brasília;22/12/2022 - 20:30;Serviço/Segurança ;3;;
Presidente da Câmara dos Deputados;Brasília;23/12/2022 - 18:50;Maceió;23/12/2022 - 20:50;Serviço/Segurança ;9;;
Presidente do Supremo Tribunal Federal;Brasília;23/12/2022 - 15:00;Porto Alegre;23/12/2022 - 17:20;Serviço/Segurança ;2;;
Ministro da Casa Civil da Presidência da República;Brasília;23/12/2022 - 07:40;Teresina;23/12/2022 - 09:30;Serviço ;2;;
Presidente da Câmara dos Deputados;Maceió;26/12/2022 - 17:15;Brasília;26/12/2022 - 19:30;Segurança/Serviço;3;;
Comandante da Marinha;Rio de Janeiro (Santos Dumont);27/12/2022 - 19:25;Brasília;27/12/2022 - 21:00;Serviço ;25;;
Presidente da Câmara dos Deputados;Brasília;28/12/2022 - 15:25;Maceió;28/12/2022 - 17:30;Serviço/Segurança ;3;;
Presidente do Congresso Nacional;São Paulo (Guarulhos);30/12/2022 - 06:05;Brasília;30/12/2022 - 07:25;Segurança ;2;;
Presidente do Supremo Tribunal Federal;Porto Alegre;30/12/2022 - 15:10;Brasília;30/12/2022 - 17:15;Serviço / Segurança ;2;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
;;;;;;;;
