Ministro do Desenvolvimento Regional;Cuiabá;16/09/2020 - 15:10;Brasília;16/09/2020 - 17:30;Serviço;14
Comandante da Marinha;Brasília;16/09/2020 - 08:20;Belém;16/09/2020 - 10:30;Serviço;6
Comandante da Marinha;Belém;16/09/2020 - 18:55;Brasília;16/09/2020 - 21:15;Serviço;6
Comandante da Aeronáutica;Brasília;16/09/2020 - 07:35;Salvador;16/09/2020 - 09:05;Serviço;7
Comandante da Aeronáutica;Salvador;16/09/2020 - 14:15;Recife;16/09/2020 - 15:15;Serviço;7
Comandante da Aeronáutica;Recife;16/09/2020 - 18:25;Brasília;16/09/2020 - 20:55;Serviço;8
Chefe do Estado-Maior Conjunto das Forças Armadas;Corumbá;16/09/2020 - 10:15;Foz Do Iguaçu;16/09/2020 - 12:30;Serviço;11
Ministro-Chefe da Casa Civil da Presidência da República;Brasília;17/09/2020 - 10:10;Salvador;17/09/2020 - 11:50;Serviço;3
Ministro da Cidadania;Brasília;17/09/2020 - 06:45;Maceió;17/09/2020 - 08:50;Serviço;10
Ministro da Cidadania;Maceió;17/09/2020 - 14:05;Aracaju;17/09/2020 - 14:40;Serviço;10
Ministro da Cidadania;Aracaju;17/09/2020 - 16:35;Brasília;17/09/2020 - 18:35;Serviço;10
Chefe do Estado-Maior Conjunto das Forças Armadas;Foz Do Iguaçu;17/09/2020 - 13:40;Brasília;17/09/2020 - 15:35;Serviço;10
Ministro-Chefe da Casa Civil da Presidência da República;Salvador;18/09/2020 - 14:45;Brasília;18/09/2020 - 16:25;Serviço;3
Ministro da Defesa;Brasília;17/09/2020 - 07:25;Guaratinguetá;17/09/2020 - 08:55;Serviço;14
Ministro da Defesa;Guaratinguetá;17/09/2020 - 14:55;Rio de Janeiro (Santos Dumont);17/09/2020 - 15:30;Serviço;14
Ministro da Defesa;Rio de Janeiro (Santos Dumont);18/09/2020 - 08:30;Juiz De Fora;18/09/2020 - 09:00;Serviço;14
Ministro da Defesa;Juiz De Fora;18/09/2020 - 12:50;Brasília;18/09/2020 - 14:10;Serviço;14
Ministro das Relações Exteriores;Brasília;18/09/2020 - 11:30;Boa Vista;18/09/2020 - 13:50;Serviço;6
Ministro das Relações Exteriores;Boa Vista;18/09/2020 - 17:55;Brasília;18/09/2020 - 22:25;Serviço;11
Comandante da Marinha;Brasília;21/09/2020 - 18:10;Rio de Janeiro (Santos Dumont);21/09/2020 - 19:45;Serviço;6
Ministro da Cidadania;Brasília;23/09/2020 - 06:45;Palmas;23/09/2020 - 07:50;Serviço;10
Ministro da Cidadania;Palmas;23/09/2020 - 11:00;Goiânia;23/09/2020 - 12:05;Serviço;10
Ministro da Cidadania;Goiânia;23/09/2020 - 16:20;Brasília;23/09/2020 - 16:45;Serviço;10
Comandante do Exército;Brasília;23/09/2020 - 13:55;Guaratinguetá;23/09/2020 - 15:30;Serviço;7
Ministro-Chefe da Casa Civil da Presidência da República;Rio de Janeiro (Galeão);24/09/2020 - 14:50;Brasília;24/09/2020 - 16:25;Serviço;3
Ministro da Cidadania;Brasília;24/09/2020 - 07:20;Belém;24/09/2020 - 09:35;Serviço;10
Ministro da Cidadania;Belém;24/09/2020 - 12:20;Manaus (Eduardo Gomes);24/09/2020 - 13:15;Serviço;10
Ministro da Cidadania;Manaus (Eduardo Gomes);24/09/2020 - 16:55;Brasília;24/09/2020 - 20:40;Serviço;10
Ministro do Meio Ambiente;Brasília;24/09/2020 - 07:15;Cuiabá;24/09/2020 - 07:45;Serviço;12
Ministro do Meio Ambiente;Cuiabá;24/09/2020 - 15:05;São Paulo (Congonhas);24/09/2020 - 18:05;Serviço;12
Ministro do Desenvolvimento Regional;Brasília;24/09/2020 - 07:40;Petrolina;24/09/2020 - 09:15;Serviço;7
Ministro do Desenvolvimento Regional;Petrolina;24/09/2020 - 18:35;Brasília;24/09/2020 - 20:20;Serviço;7
Comandante do Exército;Guaratinguetá;24/09/2020 - 14:15;Brasília;24/09/2020 - 15:35;Serviço;7
À disposição do Ministério da Defesa;Brasília;25/09/2020 - 07:20;Rio de Janeiro (Afonsos);25/09/2020 - 09:00;Serviço;12
Ministro da Defesa;Rio de Janeiro (Afonsos);25/09/2020 - 12:45;Brasília;25/09/2020 - 14:15;Serviço;12
Ministro das Minas e Energia;Brasília;24/09/2020 - 17:05;Carajás;24/09/2020 - 18:50;Serviço;36
Ministro das Minas e Energia;Carajás;25/09/2020 - 18:45;Brasília;25/09/2020 - 20:30;Serviço;36
Ministro do Desenvolvimento Regional;Brasília;25/09/2020 - 07:35;Porto Velho;25/09/2020 - 09:35;Serviço;20
Ministro do Desenvolvimento Regional;Porto Velho;25/09/2020 - 10:40;Rio Branco;25/09/2020 - 10:45;Serviço;20
Ministro do Desenvolvimento Regional;Rio Branco;25/09/2020 - 13:05;Cruzeiro Do Sul;25/09/2020 - 14:10;Serviço;20
Ministro do Desenvolvimento Regional;Cruzeiro Do Sul;25/09/2020 - 17:35;Porto Velho;25/09/2020 - 20:15;Serviço;20
Ministro do Desenvolvimento Regional;Porto Velho;25/09/2020 - 21:10;Brasília;26/09/2020 - 00:45;Serviço;20
Comandante do Exército;Brasília;25/09/2020 - 15:10;Canoas;25/09/2020 - 17:50;Serviço;4
Ministro da Infraestrutura;Brasília;28/09/2020 - 08:50;Goiânia;28/09/2020 - 09:15;Serviço;14
Ministro da Infraestrutura;Goiânia;28/09/2020 - 11:15;Brasília;28/09/2020 - 11:45;Serviço;14
Ministro da Cidadania;Brasília;28/09/2020 - 07:50;Cuiabá;28/09/2020 - 08:15;Serviço;12
Ministro da Cidadania;Cuiabá;28/09/2020 - 11:50;Belo Horizonte (Confins);28/09/2020 - 13:50;Serviço;12
Ministro da Cidadania;Belo Horizonte (Confins);28/09/2020 - 16:30;Brasília;28/09/2020 - 17:40;Serviço;12
Comandante da Marinha;Rio de Janeiro (Santos Dumont);28/09/2020 - 18:35;Brasília;28/09/2020 - 20:15;Serviço;6
Comandante do Exército;Canoas;28/09/2020 - 16:15;Brasília;28/09/2020 - 18:35;Serviço;4
Ministro da Cidadania;Brasília;29/09/2020 - 06:10;Recife;29/09/2020 - 08:45;Serviço;12
Ministro da Cidadania;Recife;29/09/2020 - 13:55;João Pessoa;29/09/2020 - 14:20;Serviço;12
Ministro da Cidadania;João Pessoa;29/09/2020 - 17:20;Brasília;29/09/2020 - 20:05;Serviço;12
Comandante da Aeronáutica;Brasília;29/09/2020 - 07:30;Salvador;29/09/2020 - 09:10;Serviço;9
Comandante da Aeronáutica;Salvador;29/09/2020 - 14:35;Brasília;29/09/2020 - 16:15;Serviço;9
Ministro da Defesa;Brasília;30/09/2020 - 08:05;São José Dos Campos;30/09/2020 - 09:25;Serviço;36
Ministro da Defesa;São José Dos Campos;30/09/2020 - 12:05;Brasília;30/09/2020 - 13:30;Serviço;36
Ministro do Desenvolvimento Regional;Brasília;30/09/2020 - 07:00;São Paulo (Congonhas);30/09/2020 - 08:30;Serviço;7
Ministro do Desenvolvimento Regional;São Paulo (Congonhas);30/09/2020 - 13:55;Brasília;30/09/2020 - 15:20;Serviço;7
