QUALIFICAÇÃO;NOME;PORTARIA;DATA
Suboficial QSS SAD;Adalto de Oliveira Dias;141/SC;37306
Terceiro-Sargento QSS STA;Adalto Fernandes;1813/SCC;31036
Terceiro-Sargento QESA SAD;Adalto José Fernandes;98/SCC;35844
Suboficial QSS BEI;Adalto José Gomes Dias;130/SCGC;41673
Primeiro-Sargento QSS BMA;Adaltro Raul Dos Santos;1.659/SCGC;42725
Terceiro-Sargento QC (PA);Adamir Ferreira de Souza;086/SCC;30336
Senhor;Adamor Linhares Santana;110/SCC;29248
Primeiro-Sargento QSS SAD;Adamor Santana de Paula;113/SCC;36584
Cabo QCB SAD;Adan Kenedy Nunes Xavier;1.659/SCGC;42725
Primeiro-Sargento QSS BCO;Adão Alfredo Hofstatter;1194/SCC;31761
Taifeiro-Mor QTA TAR;Adão Alves Cardoso;1172/SCC;32126
Suboficial QSS BMT;Adão Alvim Pereira;086/SCC;30336
Suboficial QSS BET;Adão Carlos dos Santos;1194/SCC;31761
Suboficial QSS BMA;Adão Carlos Seehase;113/SCC;36584
Primeiro-Sargento QSS SEM;Adão de Jesus Barcelos Nunes;968-A/SCC;33221
Cabo QCB SOB;Adão Evi de Miranda;113/SC;36944
Suboficial QSS SPV;Adão Ferreira dos Santos;182/SCGC;42053
Suboficial QSS BSP;Adão Francisco Silveira dos Santos;113/SCC;36584
Suboficial QSS SAD;Adão Gâmba;1057/SCC;31401
Terceiro-Sargento QSS SAD;Adão Gomes de Oliveira Junior;189/SC;41312
Suboficial QSS BMA;Adão José Dutra;1172/SCC;32126
Segundo-Sargento QE;Adão Peres de Quinta;10/SCGC;43475
Suboficial QSS SAD;Adão Reis de Magalhães;1172/SCC;32126
Suboficial QSS SMU;Adão Rodrigues Viana;189/SC;41312
Primeiro-Sargento QSS SEF;Adão Sadi Ritzel;1813/SCC;31036
Senhor;Adão Silveira da Silva;092/SCC;29971
Suboficial QSS BCO;Adão Soli Moutinho;091/SCC;29240
Terceiro-Sargento QESA SAD;Adaumir Rodrigues de Santana;161/SC;37673
Segundo-Sargento QSS BMA;Adauto de Carvalho Guimarães;113/SC;36944
Primeiro-Sargento QSS SAD;Adauto de Freitas Moreira;204/SC;38405
Suboficial QSS BEI;Adauto Tesser;193/SCC;34750
Primeiro-Sargento QSS BET;Addson Pereira Anastacio;6/SCGC;43108
Terceiro-Sargento QESA SGS;Adedi Paulo dos Santos;161/SC;37673
Terceiro-Sargento QESA SAD;Adeigi Abadio Pereira;106/SC;39134
Primeiro-Sargento QSS BCT;Adeilson Alves da Silva;6/SCGC;43108
Cabo QCB SOB;Adeilto Rodrigues Nogueira;81/SC;40581
Primeiro-Sargento QSS SAD;Adeilton Rodrigues Costa;6/SCGC;43108
Primeiro-Tenente QOEA CTA;Adejalmo Zucheto;161/SC;37673
Suboficial QSS BMA;Adelair Augusto Ribeiro;1813/SCC;31036
Primeiro-Sargento SAD;Adele Vargas Anacleto;19/SCGC;44207
Suboficial QSS SEF;Adelermo Miguez Filho;870/SCC;33592
Senhora;Adélia Ataíde Queiroz;182/SCGC;42053
Senhora;Adelina Ferreira Lima de Moura;968-A/SCC;33221
Senhor;Adelino Álvaro de Moraes;092/SCC;29971
Suboficial QSS BET;Adelino Auto de Jesus;202/SC;38035
Senhor;Adelino Martins;968-A/SCC;33221
Suboficial QSS SAD;Adelino Mota Pereira;047/SCC;29606
Suboficial (AV-MV);Adelmar Celestino Prasser;106/SC;39134
Cabo QCB BSP;Adelmar da Costa Júnior;051/SCC;34026
Suboficial QSS SEL;Adelmar Fonseca da Silva;98/SCC;35844
Suboficial QSS BMA;Adelmar Souza da Cruz;6/SCGC;43108
Suboficial SAD;Adelmo Coelho Duarte;107/SC;40234
Senhor;Adelmo Martins Santos;113/SCC;36584
Subtenente de Infantaria;Adelpe Henrique de Araújo;107/SC;39869
Terceiro-Sargento QESA SGS;Adelson da Silva Ferreira;160/SCC;34409
Suboficial QSS BMA;Adelson Francisco Salles;204/SC;38405
Subtenente de Intendência;Adelson José Valentim;189/SC;41312
Suboficial QSS BMA;Adelson Luiz Jacobs;202/SC;38035
Suboficial QSS BMA;Adelvir Machado de Oliveira;051/SCC;34026
Segundo-Tenente QOEA SVA;Adelzon Antônio da Silva;202/SC;38035
Primeiro-Sargento QSS SAD;Ademar Artur de Freitas Cruz;106/SC;39134
Cabo QCB SGS;Ademar Avelino dos Santos;113/SCC;36584
Senhor;Ademar Custódio;051/SCC;34026
Suboficial QSS SGS;Ademar Freire dos Santos;086/SCC;30336
Primeiro-Sargento QSS BMT;Ademar Luiz Zanoto;160/SCC;34409
Senhor;Ademar Machado;047/SCC;29606
Primeiro-Sargento QSS SMU;Ademar Pereira da Silva;968-A/SCC;33221
Suboficial QSS BMA;Ademar Rasmussen;931/SCC;32854
Suboficial QSS BMA;Ademar Viana;100/SCC;35481
Senhor;Ademar Viturino Barreto;202/SC;38035
Suboficial QSS SAD;Ademésio Loio da Silva;90/SCC;36213
Primeiro-Sargento QSS SAD;Ademilson de Miranda Mesquita;092/SCC;29971
Suboficial QTA TCO;Ademilson Florencio da Silva;189/SC;41312
Primeiro-Sargento SAD;Ademilson Nicolino Moreira;80/SC;39504
Suboficial QSS BMA;Ademilton Ferreira Gomes;58/SC;40953
Suboficial QSS SEL;Ademilton Florêncio da Costa;100/SCC;35481
Terceiro-Sargento QSS SDE;Ademilton Silva de Oliveira;193/SCC;34750
Suboficial QSS SEL;Ademir Afonso de Oliveira;048/SCC;35082
Segundo-Sargento SMU;Ademir Amaral Borges;81/SC;40581
Primeiro-Sargento QSS BCO;Ademir Barros de Carvalho;189/SC;41312
Suboficial QSS BCO;Ademir Batista Rocha;931/SCC;32854
Suboficial QSS SAD;Ademir Carcabrini Pereira;048/SCC;35082
Senhor;Ademir Carvalho;100/SCC;35481
Suboficial QSS BMA;Ademir Carvalho Corrêa;100/SCC;35481
Suboficial QSS SOB;Ademir Cipriano Dias;160/SCC;34409
Suboficial QSS SEF;Ademir da Silva;113/SCC;36584
Senhor;Ademir da Silva Arruda;6/SCGC;43108
Suboficial QSS SAD;Ademir da Silva Ribeiro;092/SCC;29971
Suboficial QSS BMB;Ademir de Campos Mello;048/SCC;35082
Senhor;Ademir de Freitas Lima;189/SC;41312
Suboficial QSS SGS;Ademir de Souza Gonçalves;113/SC;36944
Segundo-Sargento QSS SAD;Ademir Evangelista de Farias;58/SC;40953
Suboficial QSS SGS;Ademir Faustino Alvarenga;98/SCC;35844
Suboficial QSS SAD;Ademir Ferreira da Silva;091/SCC;29240
Senhor;Ademir José de Menezes;80/SC;39504
Suboficial BCT;Ademir José de Santana Filho;19/SCGC;44207
Primeiro-Sargento SAD;Ademir José de Sousa Cerqueira;80/SC;39504
Senhor;Ademir Lopes Corrêa;1172/SCC;32126
Taifeiro-Mor QTA TAR;Ademir Marques Licht;051/SCC;34026
Taifeiro de Primeira Classe QTA TAR;Ademir Martins dos Santos;047/SCC;29606
Segundo-Sargento SAD;Ademir Máximo da Silva;107/SC;40234
Suboficial QSS BCO;Ademir Pereira da Cruz;107/SC;39869
Suboficial QSS BCO;Ademir Raimundo Ferreira de Figueiredo;113/SCC;36584
Suboficial QSS BSP;Ademir Rodrigues Quintão;968-A/SCC;33221
Senhor;Ademir Teixeira Monteiro;047/SCC;29606
Suboficial QSS BMA;Ademir Vieira de Azevedo;160/SCC;34409
Suboficial QSS BET;Adenauer de Lima Correa;90/SCC;36213
Senhora;Adenilde Cardoso dos Santos Silva;051/SCC;34026
Segundo-Sargento QSS BFT;Adenilson Farias Zanini;113/SC;36944
Segundo-Sargento QSS BMB;Adenilson Feliciano Dantas;086/SCC;30336
Taifeiro-Mor QTA TCO;Adenílton de Sá Albuquerque;116/SCC;30701
Senhor;Adenor de Oliveira;1172/SCC;32126
Cabo QCB SAD;Adenor Ribeiro de Santana;968-A/SCC;33221
Terceiro-Sargento QESA SAD;Adeonas Pereira de Carvalho;1813/SCC;31036
Terceiro-Sargento TAR;Aderaldo Moreira da Silva;80/SC;39504
Senhor;Aderito de Assunção de Almeida Gordo;1057/SCC;31401
Suboficial QSS SGS;Aderson Toledo Santos;931/SCC;32854
Cabo QCB BSP;Adhemar Alves Pereira;047/SCC;29606
Terceiro-Sargento QC (DT);Adhemar Bernardo da Costa;116/SCC;30701
Senhor;Adhemar dos Reis Corrêa;116/SCC;30701
Primeiro-Sargento BEV;Adierson Eugenio Santos;107/SC;40234
Suboficial QSS BEI;Adil Baptista da Silva;193/SCC;34750
Suboficial QSS SMU;Adil Francisco Silva;1.659/SCGC;42725
Senhor;Adilcy Pereira;113/SC;36944
Suboficial QSS SEF;Adílson Alves dos Santos;092/SCC;29971
Suboficial QSS BET;Adílson Américo de Souza;051/SCC;34026
Primeiro-Sargento QSS SAD;Adilson Antonio de Araujo Junior;58/SC;40953
Cabo QCB SGS;Adilson Aparecido Moreira;204/SC;38405
Suboficial QSS SGS;Adilson Arcebispo de Florença;870/SCC;33592
Suboficial QSS BMA;Adilson Barbosa Bertholino;113/SC;36944
Primeiro-Sargento QSS BSP;Adílson Benedito do Carmo;1057/SCC;31401
Cabo QCB SEM;Adilson Braz de Lima;870/SCC;33592
Suboficial QSS BCO;Adílson Cardoso de Carvalho;841/SCC;32478
Primeiro-Sargento SEF;Adilson Cornelio de Brito;19/SCGC;44207
Suboficial BMA;Adilson Corrêa Siqueira;107/SC;40234
Suboficial QSS BEI;Adílson da Costa Menezes;051/SCC;34026
Primeiro-Sargento BMA;Adilson da Cunha Oliveira;80/SC;39504
Primeiro-Sargento QSS BMA;Adílson da Silva;968-A/SCC;33221
Suboficial QSS SAD;Adílson da Silva Alves;841/SCC;32478
Suboficial QSS BCO;Adílson de Abreu Ladeira;98/SCC;35844
Terceiro-Sargento SAD;Adilson de Araújo Fonseca;107/SC;40234
Primeiro-Sargento QSS SEM;Adílson de Assis Barroso;1813/SCC;31036
Suboficial QSS SAD;Adilson de Assis Duarte;116/SCC;30701
Suboficial QSS SDE;Adílson de Oliveira Cordeiro;841/SCC;32478
Senhor;Adilson de Siqueira Inácio;113/SCC;36584
Capitão QOEA;Adilson de Souza;870/SCC;33592
Suboficial QSS BCO;Adilson de Souza Moraes;58/SC;40953
Segundo-Sargento QSS SEM;Adílson Dias Frauches;086/SCC;30336
Suboficial QSS SEF;Adilson do Amaral Ramos;870/SCC;33592
Suboficial QSS SEL;Adílson do Nascimento;1813/SCC;31036
Primeiro-Sargento Topografia;Adilson dos Reis;29/SCGC;29/01/2016
Segundo-Sargento QTA TAR;Adilson Ferreira da Silva;113/SCC;36584
Senhor;Adílson Ferreira da Silva;051/SCC;34026
Terceiro-Sargento (Mar);Adilson Ferreira Lima;870/SCC;33592
Senhor;Adilson Ferreira Paz;2/SCGC;43836
Suboficial QSS SGS;Adilson Fiares de Sousa Filho;2/SCGC;43836
Primeiro-Sargento (ES);Adilson Fonsêca Afonso;202/SC;38035
Suboficial QSS BEP;Adílson Francisco do Amaral;968-A/SCC;33221
Primeiro-Sargento QSS BSP;Adílson Francisco dos Santos;051/SCC;34026
Primeiro-Sargento QSS BMB;Adilson Galdino dos Santos;189/SC;41312
Cabo QCB SAD;Adilson Giovani da Fonseca;98/SCC;35844
Suboficial QSS SML;Adilson José Bonifácio de Queiroz;1194/SCC;31761
Suboficial QSS SEM;Adilson José Zanola;202/SC;38035
Suboficial QSS BCO;Adilson Lopes de Faria;141/SC;37306
Terceiro-Sargento QTA TCO;Adilson Luiz Andrade Pires;202/SC;38035
Senhor;Adilson Luiz Costa;160/SCC;34409
Suboficial QSS BMA;Adilson Machado dos Santos;161/SC;37673
Suboficial QSS BMA;Adilson Maia Rosa;204/SC;38405
Capitão QOEA SVA;Adilson Mariz de Moraes;193/SCC;34750
Suboficial QSS BEI;Adilson Milholi da Silva;90/SCC;36213
Cabo QCB BSP;Adilson Nascimento;90/SCC;36213
Suboficial QSS BMT;Adílson Nazário;1172/SCC;32126
Suboficial QSS BMA;Adílson Nunes da Costa;1813/SCC;31036
Senhor;Adilson Nunes Luiz;160/SCC;34409
Suboficial QSS BMA;Adilson Paixão Neves;100/SCC;35481
Suboficial SMU;Adilson Pastor da Silva;81/SC;40581
Suboficial QSS BSP;Adilson Peçanha;1194/SCC;31761
Suboficial BMA;Adilson Pereira de Souza;81/SC;40581
Suboficial QSS SAD;Adílson Ramos;1057/SCC;31401
Suboficial QSS BMA;Adílson Rossi;931/SCC;32854
Suboficial QSS BCO;Adilson Ruzene;189/SC;41312
Cabo QCB BCO;Adilson Souza Salles;113/SC;36944
Suboficial QSS SAD;Adilson Takeshi Yasumura;091/SCC;29240
Suboficial QSS SAD;Adílson Tocachelo;841/SCC;32478
Cabo QCB SAD;Adilson Tompson de Souza;113/SC;36944
Suboficial QSS BMB;Adimar de Souza Almeida;870/SCC;33592
Suboficial QSS SML;Adimar Raimundo da Silva;161/SC;37673
Senhor;Adimir Morla;968-A/SCC;33221
Suboficial;Adir Carlos dos Santos;130/SCGC;41673
Suboficial QSS BET;Adir José Eugênio de Souza;161/SC;37673
Suboficial QSS BMA;Adir Marques de Carvalho;048/SCC;35082
Terceiro-Sargento QESA BET;Adivaldo Pereira de Castro;189/SC;41312
Suboficial QSS BCO;Admilson Roberto Zampieri dos Santos;80/SC;39504
Primeiro-Sargento QSS SML;Adnaldo de Souza Santos;10/SCGC;43475
Suboficial QSS BMA;Adolfo Ferreira Leal;1057/SCC;31401
Suboficial QSS SGS;Adolfo Gomes Maia;58/SC;40953
Suboficial QTA TCO;Adolfo Márcio Pires Mazala;189/SC;41312
Terceiro-Sargento QESA SAD;Adolfo Moreira de Melo Neto;160/SCC;34409
Suboficial QSS BMA;Adolfo Motonobu Miura;931/SCC;32854
Senhor;Adolfo Tito López;107/SC;40234
Senhor;Adolpho Antunes da Silva;931/SCC;32854
Cabo QCB SEL;Adolpho David Anciães;247/SC;38782
Suboficial BMA;Adolpho Luiz Silva Vasconcellos;80/SC;39504
Suboficial QSS BCO;Adolpho Sbampato Pereira;091/SCC;29240
Senhor;Adomilson Clemente Domingos;048/SCC;35082
Primeiro-Sargento QSS BSP;Adorsiano Tadeu Guilherme;130/SCGC;41673
Suboficial QSS BET;Adri Iori;841/SCC;32478
Cabo Segundo;Adrian Alberto Carreno Castillo;29/SCGC;29/01/2016
Senhora;Adriana Alessandra Costa Esteves Palmeira;19/SCGC;44207
Senhora;Adriana Aparecida de Aquino;130/SCGC;41673
